NAME:,walking5,,
0.007,1.69,-5.53,9.73
0.008,2.16,-6.51,14.55
0.009,3.92,-1.29,15.06
0.01,1.8,-2.75,10.83
0.011,2.31,-3.61,9.73
0.012,2.31,-2.08,9.92
0.013,2.39,-0.71,7.61
0.014,2.67,-0.98,6.39
0.015,0.71,-0.98,4.47
0.016,0.86,-1.53,3.88
0.017,1.18,-2.28,4.2
0.018,1.18,-2.51,4.63
0.019,1.88,-2.2,5.41
0.02,2.2,-2.24,6.16
0.021,2.71,-2.43,8
0.022,3.18,-3.96,8.2
0.023,4.98,-5.37,12.47
0.024,5.33,-1.61,13.96
0.025,4.24,-3.45,11.45
0.026,5.1,-4.59,10.98
0.027,3.84,-3.1,9.89
0.028,2.39,-2.31,7.81
0.029,1.29,-2.67,5.1
0.03,0.31,-2.47,3.96
0.031,0.27,-2.59,3.8
0.032,0.08,-3.26,4.35
0.033,0.2,-3.37,6.28
0.034,0.35,-3.33,7.57
0.035,0.71,-3.77,10
0.036,1.37,-5.49,13.85
0.037,4.55,-2.86,18.24
0.038,3.69,-1.8,14.28
0.039,2.75,-2.9,11.38
0.04,3.06,-2.59,9.26
0.041,2.24,-2.79,8.9
0.042,2.16,-1.41,9.14
0.043,1.88,-0.78,6.86
0.044,1.29,-1.45,4.2
0.045,1.49,-1.8,4.04
0.046,1.84,-1.57,4.51
0.047,1.22,-1.41,4.2
0.048,1.1,-1.41,4.39
0.049,1.84,-1.65,5.1
0.05,2.67,-1.84,7.22
0.051,3.73,-2.35,9.02
0.052,3.84,-4.59,10.94
0.053,5.3,-3.02,14.2
0.054,4.24,-1.96,13.02
0.055,5.84,-4.2,11.69
0.056,5.3,-4.39,9.38
0.057,2.94,-2.51,7.14
0.058,1.61,-2.35,5.81
0.059,1.26,-2.16,4.71
0.06,0.75,-2.86,4.2
0.061,0.82,-3.14,4.75
0.062,1.02,-3.18,5.77
0.063,0.75,-2.63,7.22
0.064,0.94,-3.26,8.9
0.065,1.69,-4,10.2
0.066,2.28,-4.28,11.96
0.067,2.59,-4.86,15.61
0.068,4.28,-0.39,15.53
0.069,2.47,-1.06,12.12
0.07,3.41,-2,9.81
0.071,3.14,-2,9.38
0.072,3.37,-0.71,8.87
0.073,2.16,-0.35,6.67
0.074,1.92,-1.26,4.35
0.075,2,-1.77,3.22
0.076,1.65,-2.47,3.18
0.077,1.22,-2.43,3.49
0.078,1.26,-2.31,4
0.079,2.51,-2.51,5.92
0.08,3.53,-2.31,8.83
0.081,4,-1.84,9.92
0.082,4.71,-4.9,12
0.083,5.22,-3.22,13.93
0.084,4.47,-2.39,12.12
0.085,5.49,-4.16,9.49
0.086,4.35,-3.96,7.77
0.087,2.63,-2.94,6.43
0.088,1.61,-2.35,5.06
0.089,1.02,-2.2,4.2
0.09,0.16,-2.98,3.37
0.091,0.71,-3.02,5.1
0.092,0.71,-3.02,6.43
0.093,1.22,-2.94,8.2
0.094,1.96,-3.49,10.51
0.095,2.39,-3.33,11.77
0.096,2.47,-5.37,12.36
0.097,4.67,-4.12,16
0.098,4.16,-0.9,12.55
0.099,2.12,-3.06,8.87
0.1,3.33,-2.51,9.89
0.101,2.94,-1.33,10.04
0.102,2.47,-0.98,6.94
0.103,2.47,-1.1,5.69
0.104,1.49,-0.9,4.35
0.105,1.49,-1.84,4.08
0.106,1.73,-2.16,4.35
0.107,1.57,-2.31,4.28
0.108,1.61,-2.35,4.9
0.109,1.92,-2.47,5.61
0.11,2.75,-2.63,7.96
0.111,4.75,-3.84,12.67
0.112,6.16,-2.08,15.69
0.113,4.55,-0.59,13.77
0.114,5.02,-2.2,11.3
0.115,4.28,-2.86,7.81
0.116,2.82,-3.14,4.94
0.117,1.84,-2.86,3.88
0.118,1.22,-2.67,3.96
0.119,0.55,-3.14,4.28
0.12,0.59,-3.69,5.22
0.121,1.92,-3.06,8.08
0.122,2.04,-1.96,10.28
0.123,1.77,-2.31,10.4
0.124,2.43,-3.33,10.47
0.125,2.2,-4.59,10.98
0.126,2.75,-7.22,15.85
0.127,5.77,-0.39,15.69
0.128,2.04,-1.06,10.75
0.129,1.73,-2.31,8.94
0.13,3.88,-1.45,9.38
0.131,2,-0.63,6.47
0.132,1.49,-1.14,4.59
0.133,0.71,-0.98,3.61
0.134,0.63,-1.45,3.88
0.135,0.98,-1.84,4.31
0.136,1.57,-2.08,5.33
0.137,2.12,-2.31,6.32
0.138,3.1,-2.47,7.92
0.139,3.73,-2.2,8.87
0.14,5.06,-3.92,10.55
0.141,6.39,-3.84,12.59
0.142,4.94,-2.35,12.75
0.143,6.86,-1.73,12.16
0.144,6.67,-2.71,9.38
0.145,4.28,-2.79,6.32
0.146,2.71,-2.67,4.31
0.147,1.77,-2.59,4.08
0.148,0.98,-2.51,4.08
0.149,1.02,-2.55,4.79
0.15,1.77,-2.79,5.92
0.151,2.12,-2.79,7.88
0.152,3.1,-2.79,10.16
0.153,4.39,-2.9,12.71
0.154,4.59,-3.49,13.14
0.155,5.84,-3.45,15.14
0.156,7.49,-1.49,15.38
0.157,4.35,-1.88,11.1
0.158,4.08,-1.37,10.16
0.159,3.33,-0.51,8.47
0.16,2.24,-0.55,7.22
0.161,2.04,-0.9,5.69
0.162,1.69,-1.02,5.37
0.163,1.61,-0.71,4.98
0.164,0.9,-0.86,3.73
0.165,0.63,-1.1,3.49
0.166,1.06,-0.98,4.28
0.167,1.41,-1.26,5.92
0.168,1.96,-1.57,7.57
0.169,3.41,-1.8,8.9
0.17,5.37,-2.47,10.08
0.171,6.71,-4.04,12.12
0.172,6.83,-3.96,13.69
0.173,6.12,-0.94,11.96
0.174,6.24,-1.49,8.24
0.175,4.79,-4,5.92
0.176,3.69,-3.06,5.3
0.177,3.33,-2.35,5.53
0.178,2.63,-2.51,4.16
0.179,1.18,-2.9,3.33
0.18,0.98,-2.35,3.92
0.181,1.84,-2.75,6.12
0.182,2.08,-2.55,8.32
0.183,1.61,-2.31,9.89
0.184,2.67,-3.18,11.85
0.185,3.18,-3.77,11.53
0.186,1.22,-6.55,12.04
0.187,4.2,-4.31,16.63
0.188,4.98,-1.77,13.45
0.189,2.12,-3.02,9.73
0.19,4.04,-2.12,7.96
0.191,3.49,-1.88,6.71
0.192,2.39,-0.67,5.26
0.193,0.75,-1.26,3.41
0.194,0.71,-1.57,3.02
0.195,0.82,-1.84,4.51
0.196,0.98,-1.53,5.41
0.197,1.41,-2.04,6.35
0.198,2.55,-1.61,7.73
0.199,3.65,-1.06,7.96
0.2,5.84,-2.28,7.85
0.201,6.2,-4.35,10.98
0.202,4.43,-1.02,13.65
0.203,3.8,-2.43,12.28
0.204,5.26,-4.16,11.65
0.205,3.49,-3.61,8.83
0.206,1.92,-2.9,5.77
0.207,1.06,-3.37,4.43
0.208,0.51,-3.1,4.47
0.209,0.78,-3.26,4.67
0.21,0.98,-3.14,6.28
0.211,1.53,-3.06,7.57
0.212,1.92,-2.82,8.28
0.213,2.39,-3.02,9.1
0.214,2.75,-3.69,9.73
0.215,2.75,-5.41,12.04
0.216,6.51,-2.55,17.73
0.217,4.63,-1.02,12.75
0.218,2.12,-2.08,9.26
0.219,4.04,-2.59,8.98
0.22,3.49,-1.69,8.51
0.221,1.92,-0.78,6.51
0.222,1.77,-1.61,4.82
0.223,1.29,-1.49,4.24
0.224,0.63,-1.45,3.65
0.225,1.22,-1.49,3.96
0.226,1.73,-1.33,5.14
0.227,1.84,-1.29,5.81
0.228,3.06,-1.69,7.69
0.229,4.28,-2.9,9.22
0.23,4.63,-4.04,11.92
0.231,7.85,-2.51,14.95
0.232,4.63,-1.33,11.18
0.233,5.1,-2.86,8.98
0.234,5.57,-3.57,8.12
0.235,3.33,-2.63,6.2
0.236,1.96,-2.55,5.18
0.237,1.45,-2.86,4.55
0.238,1.02,-2.75,5.02
0.239,1.22,-2.82,5.88
0.24,1.49,-2.98,7.57
0.241,1.96,-2.86,8.24
0.242,1.53,-3.3,8.9
0.243,2.47,-3.92,10.63
0.244,3.26,-4.59,11.65
0.245,1.88,-6.51,13.53
0.246,4.55,-2.2,15.89
0.247,2.86,-2.24,10.36
0.248,1.57,-3.77,8.75
0.249,2.86,-2.71,9.45
0.25,2.39,-1.37,8.2
0.251,1.65,-1.02,5.22
0.252,1.45,-1.88,4.35
0.253,0.98,-1.22,4.16
0.254,1.1,-1.69,4.55
0.255,1.77,-2.08,5.3
0.256,2.16,-1.57,5.53
0.257,2.75,-1.8,6.83
0.258,3.84,-2.16,7.85
0.259,4.47,-2.9,8.12
0.26,6.32,-4.16,12.24
0.261,6.55,-2.2,12.63
0.262,3.77,-1.96,10.16
0.263,4.55,-3.57,9.89
0.264,3.49,-3.26,9.02
0.265,3.06,-2.75,7.73
0.266,2.55,-2.94,5.84
0.267,1.53,-3.14,5.26
0.268,1.1,-2.63,5.1
0.269,1.29,-2.71,5.41
0.27,2,-2.9,6.71
0.271,2.39,-2.55,8.12
0.272,2.59,-2.43,9.1
0.273,3.65,-3.37,10.71
0.274,2.98,-5.02,11.1
0.275,3.41,-6.35,15.02
0.276,6.71,-0.9,16
0.277,2.79,-1.53,8.87
0.278,2.82,-3.14,7.77
0.279,4.12,-2.43,8.75
0.28,3.06,-0.78,7.81
0.281,1.57,-0.86,5.22
0.282,1.26,-1.14,4.43
0.283,0.9,-1.57,4.08
0.284,1.37,-1.8,4.67
0.285,1.53,-1.8,4.94
0.286,1.61,-2.16,5.33
0.287,2.43,-2.35,6.39
0.288,2.51,-2.51,7.3
0.289,3.69,-3.22,9.06
0.29,5.49,-4.59,13.06
0.291,6.12,-2.71,13.77
0.292,4.31,-1.45,11.49
0.293,5.84,-2.94,10.28
0.294,4.9,-3.14,7.73
0.295,3.1,-2.75,5.22
0.296,2.16,-2.55,4.39
0.297,0.55,-2.47,3.37
0.298,-0.47,-2.55,3.06
0.299,0.04,-2.63,4.86
0.3,0.82,-2.75,7.49
0.301,1.73,-2.51,10.75
0.302,2.67,-2.71,12.04
0.303,2.86,-3.65,12.4
0.304,3.8,-5.57,16.51
0.305,6,0.35,17.38
0.306,3.96,0.27,12.08
0.307,2.24,-2.31,8
0.308,1.69,-1.53,7.96
0.309,2.67,-0.12,8.43
0.31,1.65,-0.12,6.86
0.311,0.51,-1.57,4.51
0.312,0.71,-1.69,4.16
0.313,1.22,-1.18,4.71
0.314,0.98,-0.63,5.02
0.315,1.69,-1.26,5.02
0.316,2.71,-2.24,6
0.317,3.41,-1.53,7.81
0.318,4.28,-1.45,8.75
0.319,5.18,-3.02,10.36
0.32,6.79,-2.31,13.65
0.321,5.02,-0.51,11.53
0.322,4.31,-2.75,9.3
0.323,4.43,-3.06,8.2
0.324,2.86,-2.51,7.37
0.325,2.79,-2.28,7.22
0.326,1.84,-2.16,6.32
0.327,0.86,-2.24,5.33
0.328,0.94,-2.51,5.81
0.329,1.49,-2.51,6.51
0.33,1.61,-2.67,7.3
0.331,2.2,-2.67,8.87
0.332,3.02,-2.67,10.79
0.333,3.45,-2.94,11.41
0.334,2.63,-5.26,12.28
0.335,5.14,-1.57,15.1
0.336,3.06,-1.26,10.24
0.337,1.77,-2.82,8.55
0.338,3.45,-2.47,10.28
0.339,2.71,-0.63,8.63
0.34,2.12,-0.86,5.69
0.341,1.8,-1.26,4.43
0.342,1.53,-1.49,4.2
0.343,1.26,-1.53,4.47
0.344,1.14,-1.57,4.75
0.345,1.69,-1.92,5.45
0.346,2.47,-1.77,6.67
0.347,3.18,-1.61,7.85
0.348,3.26,-1.92,8.71
0.349,4.82,-3.33,11.45
0.35,5.77,-2.08,13.34
0.351,4.39,-0.59,12.12
0.352,5.26,-2.55,10.59
0.353,4.98,-3.8,9.02
0.354,3.53,-2.9,7.69
0.355,2.51,-2.43,6.24
0.356,1.77,-2.63,5.49
0.357,1.22,-2.47,5.1
0.358,1.02,-2.47,5.33
0.359,1.45,-3.26,6.43
0.36,1.49,-2.94,7.45
0.361,1.29,-3.02,8.36
0.362,1.84,-3.22,9.69
0.363,2.59,-3.14,10.9
0.364,2.12,-5.02,11.22
0.365,4.04,-3.37,14.83
0.366,3.49,-0.39,11.85
0.367,2.51,-2.79,9.1
0.368,4.16,-3.57,10.43
0.369,3.8,-1.22,9.77
0.37,2.51,-0.71,6.83
0.371,2.31,-0.86,4.82
0.372,1.73,-1.33,4
0.373,1.06,-1.26,3.45
0.374,1.53,-1.49,3.92
0.375,1.88,-1.45,4.59
0.376,1.92,-1.49,5.81
0.377,2.82,-1.49,7.18
0.378,3.49,-2.04,8.32
0.379,5.53,-4.08,11.81
0.38,6.55,-1.41,13.85
0.381,4.31,-0.35,11.96
0.382,5.18,-2,11.45
0.383,5.02,-2.59,9.06
0.384,3.37,-2.82,6.43
0.385,2.75,-3.02,5.26
0.386,1.69,-2.71,5.06
0.387,0.9,-2.51,5.06
0.388,0.75,-3.06,5.33
0.389,1.84,-2.9,7.41
0.39,1.61,-2.47,8.71
0.391,1.65,-3.1,8.94
0.392,2.43,-3.1,10.36
0.393,2.79,-3.22,10.51
0.394,1.29,-5.49,10.51
0.395,2.9,-3.41,15.1
0.396,4.55,-0.51,13.77
0.397,2.63,-2.94,11.22
0.398,4.35,-1.84,11.69
0.399,3.41,-0.24,8.94
0.4,2.47,-0.51,5.88
0.401,2.16,-1.22,3.14
0.402,0.94,-1.69,2.12
0.403,1.02,-1.65,2.94
0.404,2.28,-1.1,5.02
0.405,2.43,-0.27,5.88
0.406,2.98,-0.94,6.59
0.407,3.73,-1.45,7.81
0.408,5.14,-2.59,10.2
0.409,5.77,-2.47,12.47
0.41,4.08,-0.9,12.04
0.411,5.41,-2.63,12.08
0.412,4.55,-3.49,9.77
0.413,2.79,-3.33,7.96
0.414,2.47,-3.33,7.3
0.415,1.65,-3.37,6.51
0.416,1.22,-2.79,6.2
0.417,1.41,-2.59,6.43
0.418,1.88,-2.47,6.86
0.419,1.77,-2.82,6.9
0.42,2.2,-2.94,7.57
0.421,2.98,-3.33,9.77
0.422,2.75,-3.61,10.4
0.423,2.79,-5.65,14.28
0.424,6.51,0.47,15.57
0.425,3.22,-0.67,9.77
0.426,3.65,-1.84,9.85
0.427,5.02,-1.26,10.79
0.428,3.33,-0.2,8.51
0.429,2.51,-1.1,6
0.43,2.35,-1.37,5.06
0.431,2.08,-1.65,4.28
0.432,1.61,-1.65,4
0.433,1.41,-1.49,4.39
0.434,1.33,-1.8,4.79
0.435,1.37,-1.88,5.57
0.436,2.51,-2.39,7.49
0.437,3.18,-2.2,9.73
0.438,4.94,-2.43,12.36
0.439,4.94,-1.92,13.61
0.44,4.82,-0.08,13.26
0.441,5.37,-0.43,10.87
0.442,5.81,-2.47,8.55
0.443,3.33,-2.43,6.63
0.444,2.47,-2.12,5.96
0.445,1.96,-3.1,5.3
0.446,1.69,-3.06,4.94
0.447,1.57,-2.79,5.26
0.448,1.57,-3.41,6.24
0.449,2.59,-2.51,8.75
0.45,3.41,-2.31,9.89
0.451,3.88,-2.86,10.2
0.452,3.84,-5.53,12.55
0.453,5.49,-1.53,16.12
0.454,5.73,-1.1,13.65
0.455,3.02,-2.35,10.94
0.456,1.88,-0.86,9.3
0.457,2.24,-1.41,8.71
0.458,2.63,-1.29,7.77
0.459,1.37,-0.55,5.49
0.46,1.22,-0.75,4.16
0.461,1.18,-0.63,3.92
0.462,0.86,-0.78,3.84
0.463,0.67,-1.45,4.04
0.464,1.22,-2.39,4.82
0.465,2.12,-2.79,6.28
0.466,3.02,-2.08,7.57
0.467,3.18,-2.67,7.92
0.468,4.31,-3.57,8.79
0.469,6.86,-3.37,13.57
0.47,6.59,-0.04,11.22
0.471,4.67,-2.51,8.59
0.472,6.12,-5.02,9.26
0.473,3.8,-2.71,8.59
0.474,3.06,-1.69,7.49
0.475,2.04,-2.98,5.57
0.476,1.53,-2.9,5.22
0.477,1.49,-2.94,5.26
0.478,2.2,-3.33,6.04
0.479,2.04,-3.18,7.02
0.48,2.28,-3.37,8.39
0.481,3.33,-3.53,10.75
0.482,3.1,-3.53,10.98
0.483,2.94,-5.49,13.18
0.484,5.69,-2.28,15.34
0.485,4.12,-0.59,10.98
0.486,2.28,-2.35,8.43
0.487,4.35,-2.67,9.57
0.488,4.08,-1.49,9.38
0.489,2.24,-0.75,6.55
0.49,2.2,-0.75,5.41
0.491,2,-1.45,4.51
0.492,1.33,-1.37,4.35
0.493,1.49,-1.69,4.79
0.494,1.37,-1.29,4.98
0.495,1.49,-1.69,5.41
0.496,2.35,-1.88,6.75
0.497,3.41,-1.88,8
0.498,3.92,-3.22,8.94
0.499,6.98,-3.22,14.75
0.5,6.2,-0.47,13.02
0.501,4.82,-1.22,10.83
0.502,6.04,-3.37,9.06
0.503,3.61,-2.86,7.02
0.504,2.47,-2.24,5.81
0.505,1.49,-2.51,4.94
0.506,1.06,-2.63,4.79
0.507,1.57,-2.63,5.88
0.508,1.92,-2.47,7.14
0.509,2.24,-2.28,8.39
0.51,2.31,-2.08,9.38
0.511,2.86,-2.55,10.08
0.512,3.61,-2.94,10.32
0.513,3.84,-4,12.28
0.514,5.81,-1.53,15.1
0.515,3.96,-0.24,11.96
0.516,2.43,-2.24,9.45
0.517,4.2,-2.12,11.3
0.518,2.98,-0.35,9.81
0.519,2.12,-0.39,7.1
0.52,1.65,-1.22,4.75
0.521,0.86,-1.18,4.43
0.522,1.41,-0.59,5.02
0.523,1.96,-0.98,5.81
0.524,1.53,-0.67,5.73
0.525,1.88,-1.45,5.61
0.526,3.41,-1.26,6.79
0.527,3.3,-2.04,6.9
0.528,4.2,-3.45,8.39
0.529,7.34,-1.88,13.49
0.53,4.67,0.12,10.9
0.531,5.45,-3.18,9.02
0.532,6.39,-4.31,8.67
0.533,3.45,-3.02,7.65
0.534,2.86,-2.31,7.02
0.535,2.35,-2.51,6.24
0.536,1.33,-2.31,5.61
0.537,1.26,-2.63,6
0.538,1.61,-2.63,6.86
0.539,1.96,-2.16,8.32
0.54,2.47,-2.28,9.41
0.541,2.94,-2.71,9.85
0.542,3.92,-3.33,10.83
0.543,3.14,-4.63,11.61
0.544,5.49,-1.88,14.91
0.545,4.43,0.31,12.55
0.546,1.06,-1.06,6.86
0.547,1.37,-2.9,6.98
0.548,2.43,-2.63,9.41
0.549,3.84,-0.43,11.1
0.55,2.71,-0.75,7.37
0.551,1.73,-2.08,4.79
0.552,1.69,-1.84,4.71
0.553,1.53,-1.02,4.71
0.554,1.96,-1.41,5.26
0.555,1.69,-1.26,5.33
0.556,2.67,-1.45,6.63
0.557,4.2,-1.22,8.28
0.558,4.71,-1.92,8.39
0.559,5.61,-3.06,11.18
0.56,5.53,-0.75,12.2
0.561,5.06,-0.51,10.67
0.562,5.37,-1.49,9.1
0.563,5.14,-3.1,7.02
0.564,3.45,-2.94,5.53
0.565,3.06,-2.47,5.69
0.566,2.28,-2.39,5.65
0.567,1.84,-2.47,5.96
0.568,1.84,-2.51,6.75
0.569,2.51,-2.31,8.36
0.57,2.71,-1.88,9.06
0.571,2.47,-2.24,8.98
0.572,3.1,-3.18,9.45
0.573,3.33,-3.96,10.67
0.574,3.69,-4.12,14.2
0.575,6,-1.02,15.89
0.576,3.92,0.31,10.83
0.577,1.37,-2.04,6.71
0.578,1.88,-2.51,7.57
0.579,3.3,-0.9,9.81
0.58,2.39,0.12,8.2
0.581,1.49,-1.02,6.08
0.582,1.49,-1.37,5.61
0.583,1.69,-0.75,5.41
0.584,1.96,-0.71,5.41
0.585,1.84,-0.78,5.3
0.586,2.24,-1.29,5.81
0.587,3.65,-1.45,7.37
0.588,4.98,-1.53,8.55
0.589,5.53,-2.31,10.4
0.59,7.34,-2.04,12.24
0.591,5.37,-0.43,10.63
0.592,5.18,-1.77,9.3
0.593,5.88,-3.06,8.08
0.594,4.98,-3.18,6.28
0.595,3.65,-3.14,5.92
0.596,2.75,-2.51,5.77
0.597,2.2,-2.39,5.96
0.598,2.31,-2.59,6.47
0.599,2.67,-2.31,7.34
0.6,2.24,-2.04,8.2
0.601,2.39,-2.08,8.63
0.602,3.33,-2.28,9.45
0.603,3.41,-3.37,9.92
0.604,2.9,-4.82,11.73
0.605,6.98,-1.14,16.04
0.606,4.43,0.98,10.71
0.607,2.24,-1.61,6.83
0.608,3.18,-2.59,7.41
0.609,4.2,-1.26,9.53
0.61,3.45,0.16,7.88
0.611,2.71,-0.59,5.77
0.612,2.28,-1.41,4.31
0.613,2.31,-1.65,4.47
0.614,2.28,-1.14,4.9
0.615,2.35,-1.26,5.22
0.616,2.75,-1.65,5.96
0.617,3.65,-1.26,6.79
0.618,4.51,-1.33,7.85
0.619,5.81,-2.08,10.9
0.62,7.26,-1.1,12.47
0.621,4.79,1.22,11.22
0.622,5.53,-1.1,9.92
0.623,6.16,-2.9,8.63
0.624,4.43,-2.63,7.61
0.625,3.26,-1.88,7.14
0.626,2.98,-1.96,6.32
0.627,2.08,-2.16,5.53
0.628,1.73,-2.31,5.65
0.629,1.84,-2.39,6.43
0.63,1.88,-2.31,7.06
0.631,2,-2.67,7.73
0.632,1.84,-2.75,8.98
0.633,2.82,-2.79,10.59
0.634,2.08,-4,10.63
0.635,3.1,-3.88,14.55
0.636,5.02,0.2,14.63
0.637,2.75,-0.94,10.36
0.638,2.08,-2.98,8.83
0.639,4.47,-1.8,11.22
0.64,3.8,-0.43,9.49
0.641,2.24,-0.82,6.32
0.642,1.65,-1.45,4.59
0.643,1.53,-1.49,4.79
0.644,1.49,-1.22,4.75
0.645,1.73,-1.26,4.82
0.646,1.53,-1.33,4.71
0.647,1.92,-1.57,5.14
0.648,3.49,-1.73,6.83
0.649,4.51,-1.96,8.36
0.65,5.92,-2.28,11.89
0.651,6.32,-0.55,13.14
0.652,4.94,-1.02,11.18
0.653,6.08,-2.67,10
0.654,5.22,-3.06,8.9
0.655,3.92,-2.35,7.34
0.656,3.22,-2.47,6.24
0.657,2.24,-2.59,5.49
0.658,1.49,-2.67,5.1
0.659,1.65,-2.59,5.57
0.66,2.04,-2.63,7.14
0.661,2.12,-2.12,8.16
0.662,1.96,-1.96,8.67
0.663,2.31,-2.75,9.34
0.664,3.33,-2.79,10.79
0.665,2.51,-4.98,13.1
0.666,5.88,-1.14,15.81
0.667,3.61,-0.71,11.49
0.668,2.94,-1.8,9.89
0.669,3.61,-2.12,10.32
0.67,3.1,-0.55,8.9
0.671,2.55,-0.55,6.12
0.672,2.2,-0.75,4.94
0.673,1.37,-0.86,4.2
0.674,1.84,-1.77,4.39
0.675,2.24,-2.12,4.79
0.676,2.16,-1.96,5.22
0.677,2.67,-1.73,6.24
0.678,3.1,-1.8,6.9
0.679,3.92,-2.28,7.77
0.68,5.3,-4.35,10.71
0.681,5.84,-2.2,13.22
0.682,5.1,-0.31,12.91
0.683,4.94,-2.24,10.32
0.684,4.12,-3.1,7.69
0.685,2.94,-2.47,6.67
0.686,2.2,-1.96,5.84
0.687,1.92,-2.04,5.73
0.688,1.18,-2.16,5.3
0.689,0.98,-2.55,5.61
0.69,2.28,-3.22,7.37
0.691,2.59,-2.63,9.22
0.692,2.31,-2.04,9.34
0.693,2.35,-3.02,9.45
0.694,3.06,-3.53,10.24
