NAME:,walking_dor1,,
0.011,-0.63,4.94,4.24
0.012,-1.69,5.41,9.14
0.013,-1.73,5.22,10.59
0.014,-0.39,7.06,10.67
0.015,-1.65,5.02,15.97
0.016,-1.88,3.92,12.2
0.017,0.31,5.77,6.35
0.018,-0.39,5.26,8.04
0.019,-2.08,3.69,7.02
0.02,-1.61,4.35,2.94
0.021,-2.63,4.12,2.63
0.022,-3.14,4.43,3.14
0.023,-2.82,5.18,3.73
0.024,-3.22,5.69,6.12
0.025,-4.79,5.45,11.92
0.026,-5.1,5.41,14.04
0.027,-3.33,7.14,11.61
0.028,-3.84,6.2,12.79
0.029,-2.79,4.75,14.04
0.03,-2.79,4.12,9.49
0.031,-2.75,3.49,9.22
0.032,-1.8,3.14,8.36
0.033,-1.06,2.59,5.57
0.034,-0.9,2.55,2.82
0.035,-0.55,2.79,1.84
0.036,-0.78,2.9,2.75
0.037,-0.39,3.69,3.65
0.038,-0.35,4.2,4.75
0.039,0.04,4.75,6.51
0.04,-0.94,4.98,9.77
0.041,-0.59,5.84,9.45
0.042,-1.26,6.86,13.53
0.043,-2.82,3.73,15.57
0.044,-0.24,6.71,6.08
0.045,0.39,5.92,7.06
0.046,-1.33,4.71,7.3
0.047,-1.84,4.04,3.06
0.048,-1.77,4.35,2.51
0.049,-2.39,4.16,3.8
0.05,-2.24,4.98,4.71
0.051,-2.9,5.06,6.51
0.052,-4.04,5.61,9.92
0.053,-3.8,6,12.24
0.054,-3.1,7.1,12.87
0.055,-3.26,7.18,11.41
0.056,-3.1,6,14.63
0.057,-2.9,4.71,10.51
0.058,-2.79,4.51,8.2
0.059,-2.31,3.69,8.04
0.06,-1.29,3.14,5.49
0.061,-0.78,2.79,3.06
0.062,-0.86,3.26,2.47
0.063,-0.39,3.65,3.41
0.064,0.24,4.12,3.69
0.065,0.35,4.43,4.59
0.066,0.16,4.28,6.04
0.067,0.08,4.51,6.12
0.068,-0.59,5.22,6.86
0.069,0.04,7.18,10.4
0.07,-1.41,5.41,19.69
0.071,-0.43,5.3,13.81
0.072,0.27,6.67,4.9
0.073,0.78,6.12,6.16
0.074,-0.35,4.9,4.71
0.075,-1.49,4.2,3.49
0.076,-1.77,4.12,3.37
0.077,-2.59,4.39,3.73
0.078,-2.86,5.22,4.67
0.079,-3.37,5.77,7.02
0.08,-4,6.39,11.02
0.081,-3.57,7.18,12.71
0.082,-3.41,8.08,11.49
0.083,-3.06,7.53,14
0.084,-2.51,3.53,14.79
0.085,-1.96,5.02,5.49
0.086,-1.96,4.35,7.57
0.087,-1.33,3.57,8.87
0.088,-0.86,3.37,4.59
0.089,-0.94,2.98,2.63
0.09,-0.86,2.9,3.26
0.091,-0.67,2.86,3.33
0.092,0.04,3.37,3.18
0.093,0.24,3.84,4.28
0.094,1.02,4.28,5.73
0.095,0.63,4.94,8.12
0.096,0.16,5.73,10.63
0.097,-0.04,6.55,14.55
0.098,-0.59,5.88,17.18
0.099,0.51,6.55,10.16
0.1,1.1,6.24,8.2
0.101,0,5.1,6.35
0.102,-0.67,3.92,2.2
0.103,-1.84,3.45,2.55
0.104,-1.73,4.24,2.98
0.105,-1.49,4.98,4.35
0.106,-1.53,6.04,6.43
0.107,-2.35,6.67,8.9
0.108,-2.51,7.02,12.79
0.109,-1.88,8.24,13.73
0.11,-1.88,8.43,13.45
0.111,-1.1,6.86,16.12
0.112,-0.43,4.63,10.24
0.113,-2,4.47,6.71
0.114,-0.78,3.77,8.04
0.115,-0.67,3.3,5.69
0.116,-0.71,2.75,3.8
0.117,-0.35,2.51,3.61
0.118,-0.39,2.98,2.9
0.119,-1.06,2.9,3.18
0.12,0.27,3.77,3.65
0.121,0.71,4.24,3.69
0.122,-0.24,4.75,5.53
0.123,-0.86,5.53,9.02
0.124,-0.35,6.63,11.45
0.125,-1.37,5.49,15.49
0.126,-0.9,5.53,11.85
0.127,0.2,5.69,8.32
0.128,-0.08,5.69,7.92
0.129,-1.37,4.28,5.41
0.13,-1.18,4.51,2.94
0.131,-1.8,4.39,3.8
0.132,-1.65,4.98,4.43
0.133,-1.61,5.3,6.83
0.134,-1.69,5.73,7.85
0.135,-2.04,6.28,9.81
0.136,-1.65,7.3,12.24
0.137,-1.26,7.06,13.45
0.138,-1.53,7.18,13.22
0.139,-1.53,4.35,15.49
0.14,-1.57,4.51,9.1
0.141,-2.08,4.35,8.55
0.142,-1.06,2.9,8.47
0.143,-0.67,2.67,3.92
0.144,-0.98,2.94,2.47
0.145,-0.9,3.02,3.33
0.146,-0.55,3.3,3.26
0.147,-0.04,3.65,4.08
0.148,-0.16,3.69,4.67
0.149,0.31,3.96,5.22
0.15,-0.31,4.63,7.1
0.151,0.71,5.69,7.22
0.152,-0.08,7.22,13.45
0.153,-1.18,4.39,19.06
0.154,0.98,7.06,10.28
0.155,1.33,6.98,8.51
0.156,0.39,6.12,7.49
0.157,-0.59,4.75,4.47
0.158,-1.53,4,2.9
0.159,-1.73,3.73,2.31
0.16,-1.57,4.43,2.12
0.161,-1.73,4.94,3.96
0.162,-1.49,5.45,5.73
0.163,-2.55,6.71,10.87
0.164,-3.57,6.83,14.75
0.165,-2.28,9.34,11.34
0.166,-2.12,9.34,13.26
0.167,-2.04,5.14,13.53
0.168,-1.41,5.18,5.06
0.169,-1.57,4.86,6.94
0.17,-1.88,3.73,7.73
0.171,-1.49,3.33,4.08
0.172,-1.02,3.06,3.26
0.173,-0.55,3.22,3.26
0.174,-0.51,3.26,3.33
0.175,-0.31,3.88,3.8
0.176,-0.12,3.96,4.94
0.177,0.04,5.06,7.06
0.178,0.04,6.16,9.69
0.179,0.59,6.83,10.36
0.18,-1.06,6.9,14.71
0.181,-0.94,4.79,12.47
0.182,1.77,4.63,5.37
0.183,2.98,6.08,8.12
0.184,-0.59,4.28,7.92
0.185,-0.71,3.49,4.55
0.186,-1.14,3.69,3.1
0.187,-2,3.14,4.71
0.188,-1.65,3.88,5.06
0.189,-2.2,4.63,6.94
0.19,-2.71,5.33,9.1
0.191,-1.77,6.2,9.96
0.192,-1.18,7.18,13.96
0.193,-1.92,7.34,12
0.194,-1.33,7.3,15.02
0.195,-1.8,4.98,13.14
0.196,-1.96,5.53,8.83
0.197,-1.88,4.31,10.28
0.198,-1.06,2.82,6.39
0.199,-0.94,2.43,3.41
0.2,-0.75,2.63,3.92
0.201,-0.39,2.67,3.3
0.202,-0.27,3.14,2.59
0.203,-1.1,2.98,3.18
0.204,-0.94,4.12,4.82
0.205,-0.24,3.73,5.81
0.206,0.16,5.69,6.71
0.207,0.9,6.35,9.1
0.208,0.24,6.04,13.34
0.209,2.43,4.98,15.49
0.21,1.37,5.06,8.71
0.211,0.35,5.22,7.81
0.212,-0.82,3.88,6.47
0.213,-1.41,4.24,3.69
0.214,-2,4.24,3.18
0.215,-2.67,4.71,3.3
0.216,-2.82,5.61,3.65
0.217,-3.26,6.32,7.1
0.218,-3.41,6.47,10.36
0.219,-3.14,7.37,13.18
0.22,-3.45,7.49,14.08
0.221,-2,7.14,15.77
0.222,-1.41,5.73,14.55
0.223,-1.88,4.47,8.39
0.224,-1.49,4.9,7.02
0.225,-1.37,3.61,8.32
0.226,-0.98,3.1,4.94
0.227,-0.94,3.22,3.8
0.228,-0.63,2.9,4.2
0.229,0,3.49,2.82
0.23,-0.08,3.61,3.18
0.231,0.24,4.08,3.26
0.232,-0.12,4.24,3.3
0.233,-0.2,5.18,5.22
0.234,0.04,5.92,6.83
0.235,1.14,7.85,10.28
0.236,0.2,5.26,17.81
0.237,0.55,6.08,11.77
0.238,-0.08,6.24,7.49
0.239,-0.43,4.86,9.61
0.24,-0.94,4.12,5.3
0.241,-1.73,4.35,3.22
0.242,-1.77,3.37,3.69
0.243,-2.35,4.08,3.65
0.244,-3.33,4.82,5.3
0.245,-3.57,5.45,6.59
0.246,-3.41,6.79,9.69
0.247,-3.37,7.88,15.18
0.248,-2.51,8.16,14.36
0.249,-2.67,7.92,12.91
0.25,-1.29,5.33,13.81
0.251,-1.22,4.63,8.43
0.252,-1.53,4.79,8.08
0.253,-1.41,3.77,9.18
0.254,-1.18,3.02,5.69
0.255,-1.1,2.51,3.14
0.256,-0.43,3.06,2.55
0.257,-0.24,2.63,2.24
0.258,0.04,3.53,2.47
0.259,0.24,3.69,3.14
0.26,1.26,4.31,5.49
0.261,0.27,5.06,8.71
0.262,1.65,5.81,8.12
0.263,1.69,6.94,9.81
0.264,-1.53,4,16.36
0.265,0,4.67,8.94
0.266,1.22,6.35,7.77
0.267,-0.67,4.71,9.65
0.268,-1.02,4.55,4.12
0.269,-0.75,5.1,2.55
0.27,-1.57,4.75,3.65
0.271,-1.84,5.02,4.39
0.272,-1.88,5.65,5.73
0.273,-2.08,5.92,8.63
0.274,-2.86,6,11.69
0.275,-3.45,6.16,13.06
0.276,-2.43,6.71,14.63
0.277,-0.04,4.79,19.89
0.278,-0.55,3.41,14.24
0.279,-0.59,4.12,6.94
0.28,-0.12,4.12,7.3
0.281,-0.9,2.9,6.2
0.282,-1.14,2.94,4.71
0.283,-1.18,2.82,4.63
0.284,-0.51,2.47,4.59
0.285,0.16,2.63,3.49
0.286,0.51,2.94,3.45
0.287,0.71,2.47,3.92
0.288,1.57,3.18,4.71
0.289,1.61,3.41,7.45
0.29,3.22,4.31,7.18
0.291,1.45,6.94,14.2
0.292,-2.24,4.43,16.08
0.293,1.61,7.92,4.2
0.294,-0.04,6.35,6.83
0.295,-1.33,4.98,7.88
0.296,-1.65,5.1,5.37
0.297,-1.65,4.51,4.82
0.298,-1.37,5.1,4.31
0.299,-1.37,5.37,6
0.3,-1.02,5.96,7.22
0.301,-2.35,5.77,9.73
0.302,-2.63,6.24,9.69
0.303,-2.51,7.18,10.32
0.304,-2.59,7.92,16.44
0.305,-3.33,2.79,19.26
0.306,-2.55,5.18,7.1
0.307,-3.1,5.1,6.04
0.308,-1.33,3.33,7.88
0.309,-1.73,2.63,8.2
0.31,-0.94,2.47,5.18
0.311,-0.04,2.71,3.26
0.312,-0.2,2.47,4.79
0.313,0.2,2.63,4.39
0.314,0.12,2.9,5.37
0.315,0,3.1,7.57
0.316,-0.75,2.98,8.04
0.317,1.1,5.02,6
0.318,0.55,6.63,6.32
0.319,-2.67,3.88,12.04
0.32,-2.47,4.94,9.45
0.321,-2.35,4.71,8.51
0.322,-2.12,4.82,6.67
0.323,-2.47,5.1,4.67
0.324,-2.63,5.37,4.67
0.325,-3.61,5.49,5.88
0.326,-4.2,6.24,6.98
0.327,-4.43,6.28,7.92
0.328,-3.1,7.22,8.83
0.329,-3.73,7.49,11.18
0.33,-5.57,6.79,11.96
0.331,-5.26,6.43,13.93
0.332,-2.75,2.94,14.87
0.333,-2.67,4.12,11.77
0.334,-2.47,2.39,10.2
0.335,-0.9,2.82,7.96
0.336,-1.29,2.39,4.43
0.337,-0.78,2.43,3.88
0.338,-0.71,2.63,3.49
0.339,-1.02,2.47,3.8
0.34,-0.75,2.35,3.92
0.341,-0.39,2.59,3.41
0.342,0.43,3.49,4.24
0.343,0.71,4.51,7.41
0.344,1.69,5.26,9.26
0.345,0.39,5.49,12.4
0.346,-0.82,2.67,14.67
0.347,0.47,4.67,11.45
0.348,-1.29,4.12,8.04
0.349,-1.29,4.24,5.41
0.35,-1.33,4.47,3.84
0.351,-1.73,4.51,3.96
0.352,-1.53,5.14,4.2
0.353,-2.04,5.53,6.12
0.354,-2.86,6.16,8.16
0.355,-3.69,6.2,10.2
0.356,-3.73,6.75,12.75
0.357,-3.41,9.02,18.44
0.358,-1.02,4.55,20.01
0.359,-0.16,4.67,11.34
0.36,-1.65,4.71,5.49
0.361,-1.02,4.79,6.12
0.362,-1.57,3.8,5.96
0.363,-0.75,3.3,3.61
0.364,-0.43,3.53,2.82
0.365,-0.24,3.1,2.71
0.366,0.2,3.57,2.35
0.367,-0.12,3.69,2.9
0.368,0.08,3.77,2.94
0.369,0.08,5.41,6.08
0.37,-0.67,4.82,8.63
0.371,1.57,6.24,5.18
0.372,0.43,7.96,9.61
0.373,-2.43,3.45,16.87
0.374,0.35,6.9,5.65
0.375,0.39,8.16,4.94
0.376,-1.8,4.55,7.18
0.377,-2.04,5.65,2.94
0.378,-2.67,5.1,4.28
0.379,-2.71,5.77,4.9
0.38,-2.98,6.2,6.04
0.381,-3.02,6.83,7.02
0.382,-3.37,7.26,8.67
0.383,-3.14,8.04,10.9
0.384,-4.39,8.43,13.18
0.385,-3.06,6.71,18.24
0.386,-1.41,4.98,14.67
0.387,-2.31,4.71,7.49
0.388,-1.61,4.9,7.53
0.389,-1.26,3.61,8.24
0.39,-0.67,3.14,4.12
0.391,-0.67,3.14,2.47
0.392,-0.43,3.18,2.75
0.393,-0.16,3.33,3.57
0.394,0.04,3.45,3.65
0.395,0.63,4.08,4.43
0.396,0.2,5.26,7.26
0.397,-0.12,4.82,7.96
0.398,1.37,6.2,6.2
0.399,1.06,9.26,12.2
0.4,-1.37,3.96,18.2
0.401,0.04,7.45,6.12
0.402,0.12,5.84,6
0.403,-0.75,5.06,5.3
0.404,-1.1,5.61,2.98
0.405,-2.35,4.86,3.73
0.406,-2.43,5.33,3.41
0.407,-3.37,5.49,4.04
0.408,-3.88,6.2,5.37
0.409,-4.51,7.02,7.73
0.41,-5.14,8.28,10.43
0.411,-6.39,8.9,14.59
0.412,-5.02,8.83,17.42
0.413,-2.71,6.43,15.73
0.414,-3.1,5.81,7.3
0.415,-2.43,5.88,7.69
0.416,-1.29,5.14,8.67
0.417,-0.75,4.43,5.45
0.418,-0.67,3.69,3.73
0.419,-0.59,3.33,2.98
0.42,-0.24,3.77,3.41
0.421,-0.12,3.33,3.26
0.422,0,3.57,2.59
0.423,0.31,4,2.94
0.424,-0.47,4.67,4.39
0.425,-0.39,5.02,4
0.426,0.55,6.83,4.2
0.427,-1.26,9.14,14
0.428,-0.82,4.9,16.08
0.429,-0.35,8.36,8.08
0.43,-1.02,5.57,11.1
0.431,-1.53,4.47,5.37
0.432,-2.51,4.55,2.67
0.433,-2.67,4.98,3.88
0.434,-2.67,5.84,4.39
0.435,-3.18,6.55,4.51
0.436,-4.31,7.18,6.67
0.437,-5.02,7.92,9.34
0.438,-4.47,8.63,11.61
0.439,-4.47,8.9,11.41
0.44,-3.88,8.67,13.49
0.441,-3.37,6.2,13.65
0.442,-2.9,6.47,10.51
0.443,-2,5.14,10.47
0.444,-0.75,3.61,7.3
0.445,-0.31,3.37,2.24
0.446,-0.43,3.41,1.26
0.447,-0.94,3.26,2.79
0.448,-0.63,2.94,1.65
0.449,-0.2,3.33,0.43
0.45,-0.98,3.96,3.33
0.451,-0.51,4.47,5.3
0.452,-0.04,4.79,7.14
0.453,-0.12,6.55,7.3
0.454,-1.41,6.67,13.22
0.455,-0.51,5.81,14.98
0.456,-0.43,5.73,9.34
0.457,-0.98,5.77,8
0.458,-0.75,5.49,5.84
0.459,-1.22,5.18,3.84
0.46,-2.08,4.79,2.24
0.461,-2.39,4.86,1.88
0.462,-2.86,4.43,3.61
0.463,-2.43,4.2,5.96
0.464,-2.12,5.06,7.1
0.465,-2.35,5.22,8.59
0.466,-0.59,6.75,9.38
0.467,-2.28,7.1,9.3
0.468,-3.96,8,11.06
0.469,-3.8,9.34,18.12
0.47,-4.31,6.75,20.01
0.471,-3.18,5.1,13.57
0.472,-2.12,5.41,6.39
0.473,-0.98,4.55,6.86
0.474,0.86,3.26,4.04
0.475,1.1,2.82,2.24
0.476,0.94,4,1.18
0.477,1.22,2.51,3.41
0.478,1.41,3.45,2.2
0.479,1.22,3.69,4.47
0.48,1.33,4.35,5.06
0.481,0.82,4.94,3.22
0.482,0,6.9,4.79
0.483,-1.57,3.65,12.04
0.484,3.14,6.12,5.45
0.485,1.61,8.55,9.69
0.486,-1.49,2.55,13.34
0.487,-0.55,7.14,2.98
0.488,-3.22,4.94,4.28
0.489,-2.39,5.37,5.65
0.49,-3.1,6.16,6.71
0.491,-3.3,6.86,7.34
0.492,-3.69,7.92,10.24
0.493,-3.1,8.24,14.16
0.494,-2.79,8.32,15.42
0.495,-2.43,6.51,17.3
0.496,-1.88,5.18,12.75
0.497,-2.12,5.61,10.47
0.498,-1.22,4.47,11.38
0.499,-0.51,3.14,7.85
0.5,0.12,2.43,4.63
0.501,0.43,2.86,2.2
0.502,0.12,2.31,2.39
0.503,0.16,2.67,2
0.504,-0.27,3.18,2.47
0.505,0.75,2.98,2.98
0.506,-0.08,4.98,6.08
0.507,-0.47,4.86,8.59
0.508,1.14,7.34,8.51
0.509,-0.59,6.39,14.24
0.51,0.71,6.08,9.14
0.511,0.86,6.35,7.1
0.512,-0.31,4.94,6.59
0.513,-0.43,4.55,4
0.514,-1.92,4.71,3.41
0.515,-2.82,4.82,5.02
0.516,-3.33,5.77,4.86
0.517,-4.35,6.04,6.43
0.518,-5.02,7.53,6.79
0.519,-5.49,8.24,9.34
0.52,-5.14,8.67,12.28
0.521,-5.1,8.75,15.85
0.522,-2.98,5.1,16.36
0.523,-2.24,5.06,9.96
0.524,-2.39,4.04,6.2
0.525,-1.49,4.55,7.1
0.526,-2.12,3.18,8.24
0.527,-0.82,3.14,5.02
0.528,-0.55,3.06,3.69
0.529,-0.24,3.37,3.41
0.53,0.08,3.69,3.02
0.531,-0.43,3.77,4
0.532,-0.2,3.84,4.67
0.533,-1.06,4.9,7.06
0.534,-0.59,6.2,6.71
0.535,-1.02,6.75,10.9
0.536,-0.78,6.16,16.91
0.537,0.55,6.39,7.92
0.538,0.67,6.43,6.12
0.539,-0.9,4.94,6.47
0.54,-1.65,4.12,3.02
0.541,-2.63,4,3.77
0.542,-2.75,4.63,4.47
0.543,-2.08,5.96,4.71
0.544,-2.24,7.1,6.2
0.545,-3.26,7.45,7.26
0.546,-3.45,8.43,10.08
0.547,-4.16,9.61,12.16
0.548,-3.77,8.12,18.63
0.549,-3.14,5.37,17.69
0.55,-3.1,4.63,7.73
0.551,-2.75,4.2,5.22
0.552,-1.84,3.61,6.51
0.553,-1.18,3.41,4.63
0.554,-0.82,3.33,3.57
0.555,-0.47,3.61,3.45
0.556,0.04,3.61,3.33
0.557,-0.24,3.92,2.82
0.558,-0.2,3.61,4.24
0.559,0.51,3.88,5.3
0.56,-0.47,3.73,8.28
0.561,-0.27,4.39,8.71
0.562,-0.04,6.86,12.75
0.563,-1.18,4.39,15.22
0.564,1.02,7.45,6.79
0.565,-0.12,5.84,9.14
0.566,-1.37,4.47,6.12
0.567,-1.65,4.63,3.22
0.568,-2.79,3.96,3.49
0.569,-2.94,4.67,4.59
0.57,-3.3,5.65,4.94
0.571,-3.37,5.88,6.39
0.572,-2.71,6.86,8.98
0.573,-2.28,7.37,13.61
0.574,-1.45,6.94,15.34
0.575,-1.57,7.65,11.81
0.576,-2.28,6.12,15.18
0.577,-1.41,4.39,11.77
0.578,-1.18,3.73,9.1
0.579,-1.22,4.39,8.51
0.58,-1.69,3.06,7.61
0.581,-1.53,2.31,4.71
0.582,-1.57,2.51,2.28
0.583,-2.31,2.35,3.37
0.584,-1.96,3.06,4.39
0.585,-2.04,3.49,4.55
0.586,-1.73,4.79,6.24
0.587,-0.94,5.02,9.22
0.588,0.43,6.51,11.57
0.589,0.12,5.53,12.2
0.59,-0.16,5.26,13.18
0.591,0.47,4.63,11.92
0.592,0.04,3.14,8.47
0.593,-0.27,4.08,6.9
0.594,-1.49,3.1,7.69
0.595,-1.69,3.1,6
0.596,-2.28,3.1,4.9
0.597,-2.04,3.45,4.28
0.598,-1.69,4.55,3.73
0.599,-1.84,5.26,5.14
0.6,-2.71,6.04,6.47
0.601,-2.63,7.1,7.81
0.602,-3.02,8.71,12.12
0.603,-4.75,7.06,14.71
0.604,-4.63,7.49,12.55
0.605,-4.79,4.75,15.42
0.606,-2.35,4.43,11.57
0.607,-1.73,4.04,10.12
0.608,-1.18,3.53,9.61
0.609,-0.71,2.43,5.65
0.61,-1.06,2.47,3.22
0.611,-1.18,2.31,3.57
0.612,-1.06,2.82,3.06
0.613,-1.33,4,3.53
0.614,-1.37,4.47,4.47
0.615,-0.78,5.53,5.26
0.616,-0.51,7.18,6.83
0.617,-0.2,7.73,9.3
0.618,-2.2,6.39,10.36
0.619,-1.49,6.75,7.88
0.62,-1.18,5.88,5.88
0.621,-1.77,6.08,5.33
0.622,-1.57,5.57,6.79
0.623,-1.45,5.14,3.14
0.624,-1.45,5.3,2.08
0.625,-1.92,5.3,3.49
0.626,-2.04,6.2,3.92
0.627,-2.98,6.9,5.73
0.628,-4.12,7.65,8.79
0.629,-4.51,9.3,10.94
0.63,-4.67,9.38,12.12
0.631,-4.04,9.53,13.69
0.632,-2.08,5.88,15.42
0.633,-2.2,3.53,7.57
0.634,-1.88,3.92,4
0.635,-1.65,3.41,5.37
0.636,-1.77,3.22,4.35
0.637,-1.73,2.82,3.73
0.638,-1.65,3.1,3.65
0.639,-1.45,3.57,3.69
0.64,-1.49,3.88,4.08
0.641,-1.1,4.75,4
0.642,-0.67,5.57,6.67
0.643,-1.06,6.59,9.89
0.644,-1.02,7.22,9.38
0.645,-0.55,8.04,11.22
0.646,-1.77,5.49,13.85
0.647,-0.27,5.65,8.32
0.648,-0.16,5.73,6.79
0.649,-0.78,4.82,7.69
0.65,-1.26,4.12,3.65
0.651,-1.61,4,2.24
0.652,-1.84,4.28,2.67
0.653,-2.43,5.02,3.37
0.654,-2.82,5.88,5.77
0.655,-3.22,6.63,8.12
0.656,-3.88,7.53,10.59
0.657,-3.69,7.57,12.55
0.658,-3.33,8.43,10.83
0.659,-2.98,8.16,13.02
0.66,-2.24,5.41,12.43
0.661,-1.88,5.3,6.2
0.662,-1.88,4.47,7.61
0.663,-1.69,3.84,6.83
0.664,-1.57,2.86,4.47
0.665,-1.14,2.79,2.79
0.666,-0.94,3.26,2.82
0.667,-1.06,3.88,4.28
0.668,-0.75,4.12,4.2
0.669,-0.08,5.33,4.16
0.67,0.04,5.84,6.9
0.671,-0.24,6.63,8.83
0.672,-0.35,6.79,7.85
0.673,-0.98,7.22,11.65
0.674,-2.55,5.22,15.1
0.675,-1.1,5.65,8.16
0.676,-2,5.81,6.63
0.677,-1.57,5.73,7.53
0.678,-1.69,5.18,5.53
0.679,-2.28,4.67,3.84
0.68,-2.28,4.55,3.18
0.681,-2.12,5.06,4.2
0.682,-2.35,5.61,6.28
0.683,-2.63,5.84,7.41
0.684,-3.06,6.47,8.87
0.685,-2.94,7.65,11.14
0.686,-2.94,8.39,12.24
0.687,-3.06,8.2,13.85
0.688,-2.67,5.41,12.08
0.689,-2.04,5.53,6.55
0.69,-1.69,5.1,8.83
0.691,-1.26,4.28,8.32
0.692,-0.9,3.49,4.43
0.693,-0.78,3.49,3.18
0.694,-1.02,2.94,2.86
0.695,-0.51,3.22,2.79
0.696,-0.55,3.77,3.1
0.697,-0.24,4,4.63
0.698,0.35,5.37,6.55
0.699,-0.47,5.81,10.12
0.7,-0.43,7.41,9.89
0.701,-0.9,7.41,13.73
0.702,-1.92,5.06,14.16
