NAME:,walking4,,
0.144,0.51,-2.67,5.1
0.145,0.35,-2.43,5.84
0.146,1.1,-3.14,7.18
0.147,2.39,-2.9,10.32
0.148,2.16,-2.79,10.55
0.149,4.82,-5.02,14
0.15,4.47,-2.12,14.36
0.151,2.55,-1.53,11.3
0.152,5.14,-3.18,10.43
0.153,3.49,-2.55,7.88
0.154,2.08,-2.28,6.12
0.155,1.18,-2.2,4.9
0.156,0.39,-2.35,4.51
0.157,0.16,-3.18,3.73
0.158,0.27,-2.94,4.31
0.159,0.78,-2.63,6.08
0.16,0.67,-2.39,8.08
0.161,1.18,-2.82,9.85
0.162,2.2,-3.96,11.85
0.163,1.65,-6.47,13.77
0.164,3.1,-4.75,16.4
0.165,3.53,-0.98,14.87
0.166,2,-2,9.65
0.167,1.14,-2.35,7.77
0.168,1.53,-1.57,8
0.169,1.92,-0.82,7.81
0.17,0.71,-1.18,5.37
0.171,0.39,-1.49,4.2
0.172,0.39,-1.61,3.45
0.173,0.51,-2.12,4.28
0.174,0.59,-1.8,5.06
0.175,1.14,-2,6.43
0.176,1.88,-3.18,8.36
0.177,2.82,-2.86,10.98
0.178,2.24,-3.37,11.06
0.179,3.73,-4.67,13.96
0.18,4.31,-0.98,14.28
0.181,2.75,-1.1,10.32
0.182,4.08,-2.47,8.75
0.183,3.33,-2.12,7.37
0.184,1.33,-1.14,5.57
0.185,0.78,-1.65,4.86
0.186,0.55,-2.39,4.63
0.187,0.78,-2.43,5.02
0.188,0.9,-3.1,6.51
0.189,1.92,-3.45,8.36
0.19,1.69,-2.31,9.57
0.191,1.65,-2.9,9.34
0.192,2.2,-4.28,9.81
0.193,1.61,-5.45,10.83
0.194,2.43,-4.24,15.53
0.195,3.92,-0.12,15.69
0.196,0.67,-2,10.43
0.197,1.84,-2.51,10.2
0.198,2.51,-1.06,9.89
0.199,1.41,-0.75,7.73
0.2,1.02,-1.26,5.37
0.201,0.78,-1.8,4.16
0.202,0.35,-1.69,4.43
0.203,0.78,-1.73,5.33
0.204,0.75,-1.8,6
0.205,1.02,-2.35,6.51
0.206,2.51,-2.2,8.39
0.207,2.47,-1.84,9.45
0.208,3.88,-2.79,11.77
0.209,4.71,-2.82,12.91
0.21,2.86,-1.61,10.9
0.211,6.28,-4.12,10.43
0.212,4.79,-3.88,8.67
0.213,3.14,-2.35,6.86
0.214,2.35,-2.51,5.06
0.215,1.49,-3.1,3.69
0.216,1.61,-3.14,3.8
0.217,2,-3.1,5.41
0.218,2.24,-3.18,7.37
0.219,2.12,-3.22,8.87
0.22,2.16,-3.41,10.36
0.221,2.12,-4.35,10.55
0.222,1.77,-5.88,10.67
0.223,2.86,-4.39,14.4
0.224,4.59,0.27,15.02
0.225,0.98,-1.69,10.43
0.226,2.2,-1.29,9.73
0.227,3.06,-1.37,10.2
0.228,1.8,-0.55,7.85
0.229,1.41,-0.59,5.02
0.23,0.86,-1.26,4.43
0.231,0.98,-1.02,4.63
0.232,0.67,-1.22,4.71
0.233,0.94,-1.69,5.26
0.234,1.29,-1.96,5.73
0.235,1.33,-2.51,6.71
0.236,2.9,-2.82,9.69
0.237,3.65,-3.18,11.18
0.238,3.69,-4.12,13.42
0.239,3.06,-0.12,14.32
0.24,3.77,0.35,11.57
0.241,5.49,-3.37,10.36
0.242,3.26,-1.84,8.08
0.243,2.2,-1.22,6.83
0.244,2.16,-1.73,6.12
0.245,1.29,-1.88,4.63
0.246,0.94,-2.43,3.73
0.247,1.57,-2.79,4.35
0.248,1.14,-2.43,5.49
0.249,1.41,-2.59,7.45
0.25,1.41,-3.06,8.63
0.251,1.41,-2.71,10.08
0.252,2.08,-4.39,11.53
0.253,1.41,-6.04,15.02
0.254,4.08,-1.33,17.18
0.255,2.04,-1.02,12.04
0.256,2,-3.57,9.61
0.257,2.55,-1.29,9.53
0.258,1.53,-0.12,7.81
0.259,1.96,-0.75,5.33
0.26,0.98,-1.29,3.53
0.261,0.67,-1.57,3.61
0.262,0.67,-1.65,4.2
0.263,-0.24,-1.88,4.86
0.264,1.26,-2.24,6.63
0.265,2.16,-2.39,8.12
0.266,2.98,-2.59,9.57
0.267,5.06,-5.3,12.04
0.268,6.24,-3.84,14.98
0.269,3.96,0.16,13.22
0.27,4.12,-2.51,10
0.271,3.37,-2.43,8
0.272,1.96,-2.08,6.9
0.273,1.69,-2.39,5.81
0.274,0.98,-2.75,5.14
0.275,0.39,-2.63,5.06
0.276,0.2,-2.82,5.49
0.277,1.14,-3.53,6.43
0.278,0.94,-3.73,7.3
0.279,1.57,-3.26,9.18
0.28,2.12,-3.8,10.9
0.281,2.24,-4.12,11.65
0.282,1.61,-6.55,14.24
0.283,4.82,-0.31,16.51
0.284,1.92,-0.67,9.38
0.285,1.37,-3.53,7.49
0.286,2.31,-2.39,8.98
0.287,1.73,-0.59,8.87
0.288,1.45,-0.94,5.69
0.289,1.02,-1.65,3.73
0.29,0.9,-1.61,3.14
0.291,1.61,-1.96,4.59
0.292,1.77,-1.92,5.26
0.293,1.69,-2.39,6.59
0.294,3.06,-2.47,9.26
0.295,3.33,-2.12,10.51
0.296,4.08,-4.31,12.4
0.297,4.51,-2.59,13.57
0.298,3.57,-1.06,11.49
0.299,3.65,-2.43,9.53
0.3,3.92,-3.02,7.81
0.301,2.47,-2.39,6.39
0.302,2.12,-2.2,5.77
0.303,1.45,-2.28,4.59
0.304,0.9,-2.63,4.16
0.305,1.45,-2.94,5.14
0.306,1.41,-3.45,6.71
0.307,1.45,-3.14,8.67
0.308,1.88,-2.94,10.28
0.309,1.96,-3.41,11.14
0.31,2.08,-4.82,11.26
0.311,1.61,-6.32,14.87
0.312,4.2,0.43,16.67
0.313,2.24,-0.35,11.69
0.314,2.43,-2.82,9.02
0.315,3.37,-1.41,9.41
0.316,2.24,-0.2,7.53
0.317,1.14,-0.75,4.39
0.318,0.51,-1.45,3.61
0.319,0.24,-1.29,3.77
0.32,0.59,-2.04,3.84
0.321,1.69,-3.1,4.47
0.322,1.45,-2.35,5.41
0.323,1.92,-2.12,6.94
0.324,3.49,-2.82,9.26
0.325,3.65,-4.82,12.04
0.326,5.45,-3.3,14.44
0.327,3.8,-0.24,12.16
0.328,4.12,-3.1,9.81
0.329,3.69,-3.1,8.04
0.33,2.55,-2.43,6.75
0.331,1.84,-2.43,5.65
0.332,1.18,-2.71,5.37
0.333,1.14,-3.26,5.81
0.334,1.37,-3.33,6.39
0.335,1.8,-3.41,7.49
0.336,1.92,-3.22,8.32
0.337,2.75,-2.51,9.69
0.338,2.82,-2.43,10.63
0.339,2.86,-2.2,10.63
0.34,3.41,-5.53,13.3
0.341,5.57,-1.73,16.36
0.342,2.43,-0.31,11.14
0.343,2.43,-2.16,9.06
0.344,3.37,-1.77,9.57
0.345,1.92,0.08,7.45
0.346,1.33,-0.2,4.59
0.347,0.43,-1.22,3.41
0.348,0.94,-1.41,3.8
0.349,1.06,-1.96,4.67
0.35,1.53,-1.41,5.26
0.351,1.65,-1.49,5.45
0.352,2.43,-2.35,7.14
0.353,3.96,-2.43,9.38
0.354,3.88,-3.18,10.4
0.355,6,-4.59,13.93
0.356,6.28,-2.51,13.61
0.357,3.41,-1.1,10.51
0.358,5.06,-2.75,8.9
0.359,3.77,-1.96,7.57
0.36,3.14,-1.73,6.94
0.361,2.2,-1.8,5.37
0.362,1.02,-2.28,4.31
0.363,0.71,-2.51,4.31
0.364,1.18,-2.59,5.37
0.365,1.41,-2.43,7.34
0.366,1.8,-2,8.59
0.367,2.2,-2.47,9.45
0.368,2.9,-3.1,10.67
0.369,2.79,-4.98,12.24
0.37,3.88,-4.12,15.65
0.371,5.02,0.2,14.75
0.372,1.84,-1.84,8.75
0.373,2.28,-2.98,8.2
0.374,3.18,-1.8,9.65
0.375,2.67,-0.55,8.04
0.376,1.65,-1.1,4.67
0.377,0.98,-1.73,3.33
0.378,0.71,-1.84,3.22
0.379,1.49,-1.88,4.75
0.38,1.29,-1.84,5.57
0.381,1.26,-1.8,6.04
0.382,2.51,-2.39,8.39
0.383,3.37,-2.12,9.73
0.384,3.77,-4.43,11.26
0.385,6.51,-2.43,14.83
0.386,4.79,0.24,11.81
0.387,4.16,-2.55,8.9
0.388,5.18,-4.12,7.41
0.389,3.26,-2.59,6.35
0.39,2.59,-2.2,5.96
0.391,1.96,-2.24,5.14
0.392,0.9,-2.86,4.55
0.393,1.26,-2.82,5.22
0.394,1.73,-2.71,6.98
0.395,1.77,-2.9,8.08
0.396,1.96,-2.86,8.83
0.397,2.28,-3.06,9.96
0.398,2.71,-4.28,11.1
0.399,2.47,-6.16,13.45
0.4,5.61,-1.02,16.36
0.401,2.47,-1.14,9.85
0.402,2.2,-3.53,7.69
0.403,3.37,-2.94,9.14
0.404,2.9,-0.86,9.3
0.405,2.12,-0.86,6.2
0.406,1.49,-1.77,4.47
0.407,1.14,-1.61,3.3
0.408,2.12,-2.16,4.28
0.409,1.8,-2.28,4.94
0.41,1.26,-2,5.18
0.411,2.04,-2.9,6.43
0.412,2.51,-2.9,7.61
0.413,3.02,-2.24,9.3
0.414,4.28,-4.51,11.96
0.415,6.39,-2.47,14.63
0.416,3.88,0.08,12.47
0.417,5.49,-2.71,10
0.418,4.94,-3.65,8.08
0.419,2.39,-2,6.16
0.42,2.12,-2.39,5.37
0.421,1.45,-2.79,4.67
0.422,1.06,-3.18,4.2
0.423,1.37,-4,5.26
0.424,2.35,-3.26,7.88
0.425,1.73,-2.08,9.18
0.426,1.8,-2.67,9.1
0.427,2.59,-4.04,9.89
0.428,2.2,-4.63,10.75
0.429,1.61,-6.39,13.18
0.43,4.51,-1.69,16.36
0.431,2.55,-0.82,11.38
0.432,1.8,-2.71,8.16
0.433,2.51,-2.31,8.79
0.434,1.73,-0.63,8.2
0.435,1.26,-0.78,5.88
0.436,1.22,-1.45,4.67
0.437,0.55,-0.82,4.43
0.438,0.82,-0.94,4.2
0.439,1.84,-2.04,5.1
0.44,1.61,-1.69,6.32
0.441,2.16,-1.61,7.81
0.442,3.1,-2.16,9.22
0.443,3.8,-2.71,10.4
0.444,4.98,-3.69,13.26
0.445,4.28,-1.06,12.79
0.446,3.41,-2.12,9.81
0.447,5.02,-3.1,9.02
0.448,3.8,-2.75,7.73
0.449,2.59,-2.2,6.67
0.45,1.8,-2.2,5.92
0.451,1.18,-2.59,4.75
0.452,1.06,-3.02,4.79
0.453,1.37,-3.3,5.49
0.454,1.41,-3.33,6.75
0.455,1.8,-3.06,8
0.456,1.84,-3.14,8.63
0.457,1.88,-4.04,10
0.458,2.43,-4.31,12.24
0.459,2.43,-4.35,15.46
0.46,3.65,-1.29,15.53
0.461,2.47,-1.92,10.79
0.462,2.24,-3.02,9.49
0.463,3.3,-1.61,9.57
0.464,2.39,-0.86,7.61
0.465,1.73,-1.29,4.9
0.466,1.45,-2.12,4
0.467,0.94,-1.69,3.88
0.468,1.61,-2.08,4.16
0.469,1.33,-2.28,5.18
0.47,1.8,-1.61,6.24
0.471,1.8,-1.49,7.06
0.472,2.08,-1.96,8.75
0.473,2.71,-2.75,9.45
0.474,3.73,-3.22,13.34
0.475,3.45,-0.35,13.69
0.476,3.57,-2.47,11.53
0.477,5.06,-3.3,9.81
0.478,3.1,-2.9,7.53
0.479,2.2,-2.51,6.2
0.48,2.35,-2.67,5.69
0.481,1.06,-2.71,4.98
0.482,0.27,-3.45,5.22
0.483,1.14,-3.02,6.9
0.484,1.14,-2.55,8.55
0.485,1.49,-1.96,9.38
0.486,1.49,-2.43,9.53
0.487,2.28,-2.94,10.4
0.488,1.53,-4.59,11.18
0.489,3.8,-3.26,16.44
0.49,4.71,1.02,14.67
0.491,1.41,-1.88,9.18
0.492,2.82,-2.35,9.73
0.493,2.43,-0.98,9.85
0.494,1.33,0.2,7.34
0.495,1.73,-0.9,5.06
0.496,0.86,-0.78,4.43
0.497,0.82,-1.02,4.16
0.498,1.29,-1.88,4.55
0.499,1.26,-2.35,5.06
0.5,1.29,-1.8,6.51
0.501,3.02,-1.45,9.02
0.502,2.94,-0.98,9.61
0.503,3.77,-1.77,9.85
0.504,4.51,-3.06,12.16
0.505,3.96,0.08,13.61
0.506,4.75,0.35,11.92
0.507,5.61,-2.55,9.41
0.508,3.18,-2,8.08
0.509,2.94,-1.49,7.41
0.51,2.08,-2.24,5.53
0.511,1.29,-2.82,4.47
0.512,1.14,-3.06,4.94
0.513,1.26,-2.75,6.12
0.514,1.41,-3.33,7.1
0.515,1.96,-3.18,8.63
0.516,2.2,-2.51,10.67
0.517,2.08,-3.53,10.59
0.518,1.73,-5.33,11.45
0.519,3.57,-3.14,16.87
0.52,5.02,1.1,14.59
0.521,2.39,-1.92,9.53
0.522,3.92,-1.49,10.24
0.523,3.77,-0.9,10.51
0.524,2.24,-0.31,7.53
0.525,1.69,-0.82,4.35
0.526,0.94,-1.18,3.57
0.527,1.06,-1.22,3.22
0.528,1.06,-1.96,3.73
0.529,0.08,-1.65,4.55
0.53,1.61,-2.08,6.12
0.531,2.04,-2.47,7.26
0.532,2.43,-2.51,8.59
0.533,2.79,-2.51,9.1
0.534,4.12,-3.92,12.51
0.535,4.35,-0.86,13.38
0.536,2.75,-0.27,11.57
0.537,4.75,-2.82,10.32
0.538,4,-3.61,9.26
0.539,2.43,-2.12,7.96
0.54,1.69,-2.16,6.55
0.541,1.02,-2.75,5.37
0.542,0.71,-2.55,5.3
0.543,0.82,-2.75,5.57
0.544,1.18,-2.71,6.79
0.545,1.06,-2.9,7.85
0.546,1.14,-2.75,8.71
0.547,1.84,-3.26,10.32
0.548,2.67,-3.8,11.38
0.549,1.65,-5.22,13.49
0.55,4.28,-0.67,15.18
0.551,2.08,-1.14,10.79
0.552,1.49,-3.57,9.38
0.553,3.65,-2,11.38
0.554,1.84,-0.35,8.59
0.555,1.88,-0.71,6.08
0.556,1.37,-1.26,4.67
0.557,0.59,-1.18,3.73
0.558,0.51,-1.65,4.04
0.559,1.18,-1.8,5.02
0.56,0.98,-2.08,5.65
0.561,1.29,-1.92,6.63
0.562,2.31,-2.12,8.55
0.563,2.47,-2.82,9.18
0.564,3.26,-4.59,11.3
0.565,5.18,-2.47,14.2
0.566,3.06,-0.82,12
0.567,5.18,-3.53,9.89
0.568,4.43,-3.84,8.36
0.569,2.55,-3.02,6.51
0.57,1.92,-2.67,5.57
0.571,1.49,-2.82,5.33
0.572,0.75,-2.82,5.14
0.573,1.06,-2.9,6.39
0.574,1.14,-2.59,7.49
0.575,1.37,-1.84,8.83
0.576,1.57,-2.2,9.26
0.577,2.16,-3.1,9.81
0.578,2.43,-3.57,10.51
0.579,1.45,-5.88,12.91
0.58,4.51,-0.63,15.46
0.581,2.35,-0.31,11.06
0.582,1.33,-3.37,8.12
0.583,2.71,-2.28,10.08
0.584,2,-0.51,9.49
0.585,1.8,-0.78,7.06
0.586,1.53,-1.53,4.67
0.587,0.43,-1.57,3.96
0.588,0.94,-1.57,4.63
0.589,1.26,-1.53,6
0.59,1.49,-1.41,6.71
0.591,1.33,-1.8,6.86
0.592,2.98,-2.28,8.59
0.593,3.3,-2.67,9.38
0.594,3.8,-4.04,11.41
0.595,4.51,-1.73,13.02
0.596,2.82,-0.86,10.59
0.597,4.98,-3.53,8.94
0.598,4.08,-4.16,8.32
0.599,2.59,-2.35,7.61
0.6,2.43,-2.35,6.86
0.601,1.53,-2.24,5.45
0.602,1.02,-2.55,4.79
0.603,1.18,-2.59,5.18
0.604,1.65,-2.82,6.94
0.605,1.53,-2.43,8.43
0.606,1.88,-2.51,9.89
0.607,2.82,-2.63,10.67
0.608,2.75,-3.26,10.59
0.609,0.9,-5.06,11.57
0.61,4,-1.8,15.89
0.611,2.35,-1.14,11.06
0.612,1.26,-3.1,9.18
0.613,3.37,-2.16,10.32
0.614,2.39,-0.71,8.71
0.615,1.8,-0.67,5.96
0.616,1.18,-0.94,4.9
0.617,0.35,-0.82,4.59
0.618,1.57,-1.92,5.45
0.619,0.86,-1.61,5.49
0.62,1.33,-2.16,6.16
0.621,1.92,-2.75,8.04
0.622,2.24,-1.92,9.69
0.623,3.77,-4.55,11.89
0.624,5.02,-2.67,14.75
0.625,3.53,1.26,12.91
0.626,5.49,-2.24,11.02
0.627,4.94,-2.16,8.87
0.628,2.94,-1.77,6.59
0.629,1.88,-2.71,4.9
0.63,1.65,-2.71,4.75
0.631,1.14,-2.82,4.67
0.632,1.45,-3.3,5.65
0.633,1.88,-3.1,7.45
0.634,1.69,-2.86,8.39
0.635,1.88,-2.79,8.83
0.636,2.2,-3.69,9.77
0.637,2.12,-3.49,10.32
0.638,1.22,-4.86,10.83
0.639,2.79,-3.49,15.46
0.64,2.71,-0.12,13.61
0.641,1.73,-1.73,9.92
0.642,3.77,-2.82,10.43
0.643,2.94,-0.2,9.65
0.644,1.73,0.35,6.24
0.645,1.53,-1.02,4.63
0.646,1.33,-0.71,4.75
0.647,0.31,-0.59,4.2
0.648,0.86,-1.53,4.2
0.649,1.84,-2.28,4.98
0.65,1.61,-2,6.86
0.651,2.43,-1.8,8.87
0.652,2.86,-3.45,9.57
0.653,4.35,-5.14,12.91
0.654,4.28,-1.69,14.59
0.655,3.57,-1.65,12.08
0.656,5.06,-4.28,9.22
0.657,3.41,-2.9,8.2
0.658,2.31,-1.26,7.37
0.659,1.73,-1.88,6.55
0.66,1.65,-2.47,5.37
0.661,1.22,-2.67,4.9
0.662,1.29,-2.55,5.06
0.663,0.71,-2.16,5.61
0.664,0.39,-2.79,5.96
0.665,1.45,-4.67,7.37
0.666,2.63,-4.55,10.47
0.667,2.82,-4.31,14.51
0.668,4.79,-1.88,15.57
0.669,2.75,-1.29,10.94
0.67,1.53,-2.82,8.2
0.671,1.96,-1.14,8.83
0.672,2.12,-0.59,8.55
0.673,2.39,-1.02,6.12
0.674,1.84,-1.88,4.43
0.675,1.33,-2.16,4.16
0.676,1.92,-2.59,5.3
0.677,1.26,-2.24,5.88
0.678,0.9,-1.61,5.45
0.679,1.96,-2.47,5.33
0.68,1.77,-2.04,6.28
0.681,1.77,-1.02,7.3
0.682,3.26,-2.79,9.53
0.683,4.39,-4.31,13.22
0.684,5.77,0,16.67
0.685,6.63,-0.12,13.73
0.686,4.86,-3.77,11.49
0.687,3.49,-2.12,10.32
0.688,2.39,-2.39,7.53
0.689,1.57,-3.33,5.92
0.69,1.1,-2.47,6.08
0.691,0.86,-2.75,5.41
0.692,0.67,-3.22,5.1
0.693,0.55,-3.96,5.57
0.694,0.47,-3.49,7.81
0.695,0.86,-2.28,10.51
0.696,0.16,-3.41,10.2
