NAME:,walking_dor2,,
0.079,-2.55,4.79,2.9
0.08,-3.77,4.82,3.26
0.081,-5.77,4.39,3.96
0.082,-6.51,4.39,5.65
0.083,-7.34,4.51,8.43
0.084,-7.65,5.45,11.69
0.085,-6.98,5.81,14.75
0.086,-5.3,7.57,15.69
0.087,-4.08,4.12,16.63
0.088,-1.49,3.37,8.83
0.089,-2.39,3.14,7.26
0.09,-3.26,1.8,8.08
0.091,-2.39,1.26,5.92
0.092,-1.96,1.73,3.41
0.093,-1.53,2,2.51
0.094,-1.33,2.2,3.61
0.095,-1.69,2.24,3.1
0.096,-2.24,2.43,4.12
0.097,-2.12,3.18,4.31
0.098,-2.51,3.57,6.04
0.099,-2.47,5.57,8.83
0.1,-1.1,7.85,9.45
0.101,-1.45,7.61,13.77
0.102,-2.51,4.98,13.96
0.103,-1.18,6.24,8.67
0.104,-2.82,4.24,8.75
0.105,-2.98,3.8,5.53
0.106,-3.61,3.96,2.67
0.107,-4.28,4.12,3.69
0.108,-5.14,4.47,3.14
0.109,-6.16,4.94,4.75
0.11,-6.35,5.26,5.49
0.111,-6.51,5.88,6.39
0.112,-7.37,6.83,10.9
0.113,-7.85,6.47,14.67
0.114,-5.22,6.63,15.57
0.115,-4.67,5.45,15.06
0.116,-3.61,4.08,10.79
0.117,-2.47,4.12,7.73
0.118,-1.84,2.98,7.02
0.119,-1.18,2.59,4.67
0.12,-1.02,2.71,2.71
0.121,-1.26,2.31,2.82
0.122,-0.86,2.82,2.82
0.123,-1.57,2.67,2.98
0.124,-1.92,3.41,3.96
0.125,-2.2,3.45,4.51
0.126,-3.18,4.16,5.77
0.127,-0.86,7.53,6.98
0.001,-2.59,6.9,15.34
0.002,-4.16,4.04,17.34
0.003,-1.18,7.85,7.41
0.004,-2.28,5.02,8.24
0.005,-2.16,4.94,5.45
0.006,-3.33,4.28,4.04
0.007,-4.59,4.12,3.84
0.008,-4.35,4.86,3.69
0.009,-4.98,5.41,4.75
0.01,-5.45,6.16,5.88
0.011,-6.04,6.43,6.75
0.012,-6.55,7.26,11.1
0.013,-7.22,7.41,13.96
0.014,-6.2,6.32,15.57
0.015,-5.33,4.59,12.94
0.016,-4.24,4.39,8.08
0.017,-3.18,3.92,6.71
0.018,-2.63,2.82,6.67
0.019,-1.65,2.67,4.16
0.02,-2.2,2.67,2.9
0.021,-1.88,2.47,3.33
0.022,-1.73,3.06,3.3
0.023,-1.84,3.33,3.77
0.024,-2.43,3.84,3.65
0.025,-2.82,4.2,4.79
0.026,-3.96,4.35,5.73
0.027,-1.33,7.37,5.96
0.028,-3.8,6.83,12.04
0.029,-6.16,3.45,16.48
0.03,-2.79,7.45,7.61
0.031,-2.55,5.33,6.98
0.032,-2.47,5.06,5.49
0.033,-3.33,4.43,3.45
0.034,-3.77,4.24,3.53
0.035,-4.2,4.43,3.45
0.036,-4.28,5.33,3.8
0.037,-4.86,6.2,5.06
0.038,-6.04,6.51,7.65
0.039,-6.79,7.73,9.3
0.04,-8.08,7.88,11.53
0.041,-8.04,7.49,13.96
0.042,-7.61,5.14,14.16
0.043,-5.53,4.51,8.43
0.044,-3.45,5.14,8.08
0.045,-3.41,3.33,9.61
0.046,-2,2.63,5.18
0.047,-1.57,2.51,2.63
0.048,-1.84,2.43,2.43
0.049,-2.16,2.94,2.9
0.05,-2.51,3.49,4.08
0.051,-3.02,3.8,3.61
0.052,-2.71,4.86,3.84
0.053,-3.53,5.65,6.67
0.054,-3.06,6.39,8.87
0.055,-2.31,7.22,8.63
0.056,-3.1,5.06,13.38
0.057,-3.61,4.43,10.12
0.058,-1.77,6.71,7.14
0.059,-3.45,5.26,8.87
0.06,-4.12,4.43,4.67
0.061,-4.04,5.02,3.1
0.062,-4.98,4.39,4.28
0.063,-5.06,4.43,4.67
0.064,-4.71,5.45,4.63
0.065,-5.06,5.81,5.77
0.066,-5.45,6.9,7.49
0.067,-5.88,7.65,10.9
0.068,-7.45,7.61,12.24
0.069,-6.86,6.35,16
0.07,-5.53,3.73,12.55
0.071,-3.49,4.82,5.65
0.072,-3.06,4.04,5.57
0.073,-3.06,2.51,5.57
0.074,-2.43,2.86,3.57
0.075,-2.16,3.1,3.41
0.076,-2,2.94,3.8
0.077,-1.18,4.31,3.18
0.078,-1.73,4.47,4.24
0.079,-2.43,4.79,4.94
0.08,-2.71,5.33,5.45
0.081,-3.84,5.1,6
0.082,-2.86,6.59,7.22
0.083,-5.77,4.67,15.06
0.084,-4.51,3.02,10.98
0.085,-1.96,6.39,5.49
0.086,-1.37,6.16,7.73
0.087,-3.14,4.71,7.41
0.088,-3.1,4.2,4.35
0.089,-4.2,4.43,3.8
0.09,-4.39,4.75,4.59
0.091,-5.02,5.18,4.75
0.092,-5.18,5.65,5.26
0.093,-6.43,6.16,6.86
0.094,-7.1,6.51,8.63
0.095,-7.06,7.73,10.43
0.096,-7.61,7.45,12.94
0.097,-6.59,5.18,15.02
0.098,-5.33,4,7.77
0.099,-4.35,4.55,5.02
0.1,-4.16,3.3,7.96
0.101,-3.3,2.75,6.28
0.102,-2.79,2.24,4.47
0.103,-2.47,2.39,2.98
0.104,-2.47,2.51,3.77
0.105,-1.92,2.94,3.22
0.106,-1.96,3.88,3.8
0.107,-2.35,4.67,4.98
0.108,-2.28,5.22,6.51
0.109,-2.43,5.77,6.86
0.11,-2.67,6.08,10.2
0.111,-4.98,4.31,14.87
0.112,-3.14,5.06,10.12
0.113,-1.69,6.59,6.98
0.114,-2.9,4.55,8.59
0.115,-2.71,4.82,5.02
0.116,-2.75,5.02,3.22
0.117,-3.96,4.98,3.84
0.118,-5.02,4.9,4.35
0.119,-6.24,5.18,4.98
0.12,-6.67,5.49,6.24
0.121,-6.9,5.96,8.79
0.122,-6.94,6.43,11.89
0.123,-6.28,6.75,11.73
0.124,-6.12,5.65,12.87
0.125,-5.14,3.92,12.91
0.126,-4.71,3.84,7.06
0.127,-4.59,3.14,7.41
0.128,-3.41,2.35,7.69
0.129,-2.86,1.53,4.98
0.13,-2.24,2.08,2.39
0.131,-2.28,3.8,4.94
0.132,-2.16,4.71,4.86
0.133,-2.28,4.59,5.3
0.134,-2.51,4.67,7.06
0.135,-2.55,4.86,7.14
0.136,-2.28,5.73,9.65
0.137,-5.77,2.08,16.24
0.138,-4.28,4.86,9.45
0.139,-3.49,5.1,8.51
0.14,-4.35,4,7.96
0.141,-3.77,4.28,4.43
0.142,-4.12,4.04,4.75
0.143,-4.31,3.88,5.14
0.144,-4.43,4.28,5.53
0.145,-4.43,4.55,7.34
0.146,-4.86,4.55,8.67
0.147,-5.3,4.9,8.98
0.148,-5.61,5.57,10.08
0.149,-5.92,5.88,10.4
0.15,-6.35,5.18,14.32
0.151,-5.33,3.06,11.65
0.152,-4,3.8,5.77
0.153,-3.61,3.02,7.41
0.154,-3.3,2.28,7.22
0.155,-2.24,1.8,4.82
0.156,-1.65,2.08,3.06
0.157,-2.31,2.12,4.16
0.158,-1.88,2.43,3.88
0.159,-2.12,3.18,4.51
0.16,-2.63,3.14,5.69
0.161,-3.02,3.45,6.79
0.162,-4.28,3.57,7.57
0.163,-3.73,5.65,9.45
0.164,-3.26,4.35,13.53
0.165,-4.2,3.92,12.36
0.166,-3.41,4.59,8.12
0.167,-3.33,4.98,7.26
0.168,-4.24,3.65,7.73
0.169,-4.04,3.8,4.35
0.17,-4.04,4.12,3.61
0.171,-4.24,4.12,4.71
0.172,-4.47,4.55,5.57
0.173,-4.71,4.75,6.43
0.174,-5.73,4.82,8.67
0.175,-5.73,5.22,10.79
0.176,-5.49,6,11.81
0.177,-5.81,5.57,13.3
0.178,-5.3,3.45,12.98
0.179,-4.28,3.41,7.49
0.18,-4.04,3.77,6.67
0.181,-3.73,2.51,8.43
0.182,-2.59,2.35,5.14
0.183,-2.28,2.51,3.41
0.184,-2.16,2.47,4
0.185,-2.08,2.79,4.08
0.186,-2.28,2.82,5.1
0.187,-2.59,3.37,5.57
0.188,-2.55,3.92,6.43
0.189,-2.47,4.35,7.73
0.19,-1.57,4.86,7.85
0.191,-2.47,5.45,10.79
0.192,-5.57,2.08,16.28
0.193,-3.06,3.96,10.08
0.194,-1.69,6.39,5.65
0.195,-2.59,4.94,8.04
0.196,-3.1,3.96,4.08
0.197,-3.84,3.8,3.06
0.198,-4.24,3.77,4.67
0.199,-4.04,4.12,5.45
0.2,-4.04,4.31,6.35
0.201,-4.24,4.82,7.65
0.202,-4.86,5.06,9.49
0.203,-4.31,5.92,10.75
0.204,-5.06,5.92,13.85
0.205,-5.73,3.73,14.87
0.206,-2.94,3.3,8.47
0.207,-2.28,4.24,5.14
0.208,-2.94,3.61,8.67
0.209,-3.02,2.71,8.67
0.21,-2.55,2.35,5.73
0.211,-2.28,2.51,3.88
0.212,-2.16,2.35,4.2
0.213,-1.92,2.9,4.04
0.214,-2.31,3.73,5.18
0.215,-2.67,3.69,7.22
0.216,-2.31,4.31,6.9
0.217,-3.02,4.28,7.06
0.218,-2.43,5.53,8.47
0.219,-4.75,4.47,14.55
0.22,-2.47,4.94,7.92
0.221,-2.98,4.35,5.57
0.222,-3.14,4.24,4.43
0.223,-3.61,4,4.51
0.224,-3.73,4.47,4.35
0.225,-4.08,4.86,5.69
0.226,-4.98,5.02,7.34
0.227,-5.37,5.1,7.53
0.228,-4.71,6.55,9.38
0.229,-5.73,6.98,11.65
0.23,-5.92,5.45,14.91
0.231,-5.37,2.9,12.04
0.232,-4.24,3.77,4.94
0.233,-3.96,2.98,7.06
0.234,-3.61,2.63,8.12
0.235,-3.06,2.51,4.94
0.236,-2.39,2.63,3.57
0.237,-2.28,2.86,3.88
0.238,-2.28,3.37,4.59
0.239,-2.16,3.92,4.94
0.24,-2.55,4.47,5.77
0.241,-3.02,4.94,7.85
0.242,-3.45,5.14,8.59
0.243,-2.51,6.79,8.9
0.244,-4.59,5.81,13.34
0.245,-5.3,3.73,11.65
0.246,-3.14,6.04,5.02
0.247,-2.51,5.22,7.65
0.248,-3.06,4.35,5.41
0.249,-3.06,4.35,3.61
0.25,-3.22,3.96,3.84
0.251,-3.18,3.88,4.39
0.252,-3.33,4.55,4.12
0.253,-3.92,4.98,5.14
0.254,-5.61,5.26,6.71
0.255,-6.71,6.43,9.1
0.256,-6.86,8.2,10.87
0.257,-7.49,7.88,13.85
0.258,-6.43,4.94,15.26
0.259,-4.98,3.65,7.92
0.26,-4.04,4,6.32
0.261,-3.61,3.3,8.39
0.262,-2.82,2.51,6.39
0.263,-2.2,2.04,3.41
0.264,-2.08,2,2.12
0.265,-2.31,2.35,1.92
0.266,-2.63,3.26,3.8
0.267,-2.67,3.8,5.37
0.268,-2.28,3.92,7.26
0.269,-1.92,4.9,5.57
0.27,-1.1,4.94,5.26
0.271,-3.3,4.04,11.81
0.272,-6.39,2.35,15.26
0.273,-2.9,5.88,8.87
0.274,-1.96,6.12,7.88
0.275,-3.18,5.14,8.9
0.276,-4.43,4.31,7.41
0.277,-4.24,4.39,5.02
0.278,-4.82,4.35,4.04
0.279,-5.22,4.67,5.33
0.28,-4.79,5.33,6.32
0.281,-4.94,5.45,7.96
0.282,-5.02,5.41,9.81
0.283,-4.47,6.12,10.43
0.284,-5.57,7.41,10.94
0.285,-5.92,5.69,16.91
0.286,-3.88,2.79,13.42
0.287,-2.82,2.59,6.2
0.288,-2.51,2.79,4.12
0.289,-2.31,2.16,5.14
0.29,-2.51,1.96,4.12
0.291,-2.24,2.08,3.84
0.292,-1.92,2.12,3.3
0.293,-1.8,2.47,2.82
0.294,-2,2.75,3.69
0.295,-2.28,4.04,5.49
0.296,-2.16,5.02,9.1
0.297,-2.51,5.77,9.3
0.298,-2.86,6.67,10.98
0.299,-6.35,3.84,18.36
0.3,-5.26,5.41,9.92
0.301,-2.63,6.35,5.41
0.302,-2.28,4.86,6.9
0.303,-3.14,4.04,3.61
0.304,-3.45,3.65,2.24
0.305,-3.37,3.57,2.9
0.306,-4.39,4.24,3.41
0.307,-4.2,4.94,4.39
0.308,-4.9,5.88,7.3
0.309,-6,6.75,11.81
0.31,-6.9,6.24,14.79
0.311,-7.45,6.51,14.2
0.312,-5.81,4.82,15.46
0.313,-3.73,3.53,7.92
0.314,-3.69,4,4.94
0.315,-3.1,3.45,6.71
0.316,-2.63,2.75,4.98
0.317,-2.51,2.47,3.3
0.318,-2.47,2.55,2.43
0.319,-2,2.47,2.79
0.32,-1.88,2.94,2.35
0.321,-2.2,3.73,3.88
0.322,-2.12,4.39,6.08
0.323,-3.41,4.86,9.22
0.324,-3.3,5.65,9.69
0.325,-2.2,7.57,10.94
0.326,-4.2,4.63,15.38
0.327,-3.8,4.75,9.73
0.328,-1.84,6.28,4.94
0.329,-2.79,4.39,6.47
0.33,-3.3,3.49,3.96
0.331,-3.73,4.16,2.39
0.332,-4.94,3.84,3.92
0.333,-5.06,5.49,4.71
0.334,-5.77,6.08,6.71
0.335,-5.88,6.39,8.75
0.336,-5.53,7.61,11.92
0.337,-6.32,6.28,14.12
0.338,-5.02,7.69,11.92
0.339,-4.9,5.18,14.67
0.34,-2.71,4.59,8.47
0.341,-3.06,4.71,6.16
0.342,-3.14,3.49,6.79
0.343,-2.51,2.55,5.49
0.344,-1.8,2.24,3.41
0.345,-1.77,1.92,1.69
0.346,-1.73,2,1.88
0.347,-1.61,2.59,2.2
0.348,-1.8,3.53,3.8
0.349,-2.28,4.39,5.61
0.35,-2.2,4.71,7.34
0.351,-2.59,5.84,7.45
0.352,-2.71,6.59,9.38
0.353,-4.28,4.86,14.2
0.354,-3.69,5.1,11.61
0.355,-2.79,5.02,9.06
0.356,-2.47,4.55,6.71
0.357,-2.63,4.2,3.57
0.358,-3.92,4.35,3.02
0.359,-4.59,3.96,5.14
0.36,-4.63,4.71,5.02
0.361,-4.39,5.14,7.41
0.362,-4.31,5.22,8.08
0.363,-4.39,5.96,7.85
0.364,-4.82,6.28,11.06
0.365,-6.63,6.28,10.94
0.366,-6.12,9.69,12.43
0.367,-6.59,4.63,18.12
0.368,-4.43,4.67,9.81
0.369,-3.96,4,10.55
0.37,-2.63,2.31,7.18
0.371,-1.18,2.55,3.69
0.372,-1.29,2.75,3.45
0.373,-1.84,1.88,4.63
0.374,-1.14,2.71,4.12
0.375,-0.9,1.96,4.39
0.376,-0.9,2.71,3.65
0.377,-2.24,2.94,5.33
0.378,0.55,5.14,6.04
0.379,-2.39,5.26,12.2
0.38,-3.49,0.27,15.18
0.381,-2.47,5.1,10.51
0.382,-3.53,4.35,9.53
0.383,-3.37,5.06,6.32
0.384,-4.55,5.57,5.33
0.385,-5.41,4.31,6.63
0.386,-4.94,5.53,6.12
0.387,-5.14,5.18,6.12
0.388,-5.57,5.92,7.3
0.389,-6.83,5.26,9.45
0.39,-6.55,5.61,10.16
0.391,-7.61,4.86,11.02
0.392,-7.49,3.26,13.81
0.393,-5.96,2.28,12.91
0.394,-5.14,2.31,8.98
0.395,-4.31,2.63,8.2
0.396,-2.55,2.35,7.53
0.397,-1.33,2.35,4.63
0.398,-1.73,2.55,3.1
0.399,-1.41,2.43,3.18
0.4,-1.45,2.55,3.26
0.401,-1.65,2.86,3.65
0.402,-1.69,3.06,4
0.403,-1.57,3.69,4.28
0.404,-2.82,3.53,6.04
0.405,-1.88,4.59,6.39
0.406,-2.71,4.47,10.98
0.407,-4.04,2.31,13.53
0.408,-1.96,5.88,12.2
0.409,-3.3,3.77,12.87
0.41,-2.82,4.28,8.2
0.411,-3.18,4.35,4.51
0.412,-4.47,4.39,4.31
0.413,-4.51,4.47,5.14
0.414,-4.82,5.18,5.26
0.415,-4.94,5.14,7.02
0.416,-6.51,4.59,9.61
0.417,-7.06,3.84,11.18
0.418,-6.55,5.22,11.65
0.419,-7.02,5.26,15.38
0.42,-4.28,2.86,15.61
0.421,-3.18,2.71,7.49
0.422,-3.73,3.06,5.69
0.423,-3.06,1.96,7.3
0.424,-2,2.2,4.59
0.425,-1.96,2,3.88
0.426,-1.65,2.12,4
0.427,-1.22,2.12,3.73
0.428,-1.18,2.55,3.49
0.429,-1.49,2.82,4.51
0.43,-1.57,3.02,6.32
0.431,-2.9,3.14,8.04
0.432,-2.51,3.96,7.49
0.433,-3.33,4.63,12.87
0.434,-5.65,1.77,15.38
0.435,-3.49,4.47,9.45
0.436,-2.31,5.33,9.14
0.437,-2.63,4.43,6.75
0.438,-2.35,4.67,4.59
0.439,-2.71,4.59,4.16
0.44,-2.98,4.39,4.75
0.441,-3.37,4.63,4.9
0.442,-3.69,4.86,5.45
0.443,-5.22,4.51,8.83
0.444,-5.02,4.98,11.57
0.445,-5.02,6.12,14.04
0.446,-4.47,5.96,12.79
0.447,-4.59,4.86,15.65
0.448,-3.57,2.63,10.32
0.449,-2.82,3.69,6
0.45,-2.94,3.06,7.22
0.451,-2.82,2.47,6.79
0.452,-2.47,2.2,5.3
0.453,-1.84,2.28,3.65
0.454,-1.49,2.28,3.18
0.455,-1.41,2.59,3.45
0.456,-1.14,2.71,4
0.457,-1.22,2.94,5.22
0.458,-2.2,3.49,8.36
0.459,-2.75,3.96,8.04
0.46,-2.39,6.94,13.1
0.461,-4.98,2.47,18.59
0.462,-2.28,4.55,10.51
0.463,-0.9,6,7.22
0.464,-1.61,4.51,5.92
0.465,-2.47,3.92,3.49
0.466,-2.79,3.8,3.8
0.467,-3.06,4.24,3.69
0.468,-4.08,4.71,4.9
0.469,-4.63,4.98,6.94
0.47,-3.18,5.02,8.36
0.471,-4.86,5.41,11.14
0.472,-5.1,5.57,13.65
0.473,-4.94,6.71,12.16
0.474,-4.94,5.3,13.49
0.475,-4.55,3.96,9.57
0.476,-4.43,4.2,7.18
0.477,-3.96,2.82,8.63
0.478,-2.55,2.24,6.04
0.479,-2.16,2,4.51
0.48,-1.96,2.24,3.18
0.481,-1.61,1.96,2.86
0.482,-1.96,2.98,3.73
0.483,-1.69,2.43,4.39
0.484,-0.75,3.45,5.33
0.485,-1.14,4.12,9.18
0.486,-1.1,4,10.98
0.487,-1.45,4.63,10.47
0.488,-4.16,3.96,15.65
0.489,-3.14,2.86,12.94
0.49,-0.63,5.88,6.94
0.491,-1.92,4.28,7.73
0.492,-2.63,3.8,5.84
0.493,-2.28,4.2,4.47
0.494,-3.06,3.84,4.63
0.495,-3.49,4.35,4.63
0.496,-3.45,4.79,5.41
0.497,-4.55,5.06,7.69
0.498,-5.49,4.94,8.87
0.499,-5.06,5.45,11.14
0.5,-6,5.65,15.02
0.501,-5.1,4.94,15.65
0.502,-3.57,4.08,12.75
0.503,-3.06,2.82,8.12
0.504,-2.71,3.26,6.51
0.505,-2.47,1.88,6.55
0.506,-1.77,1.77,3.61
0.507,-1.88,2.12,2.98
0.508,-1.96,1.92,3.37
0.509,-1.02,2.47,2.98
0.51,-1.37,2.98,3.77
0.511,-0.78,2.98,4.43
0.512,-0.47,3.3,6.98
0.513,-0.98,3.18,10.55
0.514,0.98,5.49,10.04
0.515,-1.69,6.43,14.83
0.516,-4.67,0.86,15.57
0.517,-2.08,4.71,7.22
0.518,-2.82,3.88,7.57
0.519,-3.77,3.41,6.28
0.52,-4.04,4.08,4.82
0.521,-5.02,3.41,5.73
0.522,-4.59,4.2,5.73
0.523,-4.55,4.47,6.39
0.524,-4.9,4.82,8.16
0.525,-5.26,4.82,9.65
0.526,-5.02,4.98,10.2
0.527,-5.14,6.28,12.12
0.528,-5.81,4.55,16.36
0.529,-4.2,2.51,12.79
0.53,-3.22,4.2,7.41
0.531,-2.51,2.98,8.04
0.532,-1.45,3.37,7.18
0.533,-1.77,2.55,5.06
0.534,-1.73,2.16,3.8
0.535,-1.61,2.16,4.43
0.536,-1.14,2.31,3.92
0.537,-1.06,2.67,3.73
0.538,-1.77,2.82,4.79
0.539,-2.28,2.98,5.88
0.54,-2.82,3.37,5.61
0.541,-1.49,5.06,7.49
0.542,-3.49,5.73,14.71
0.543,-4.75,2.04,14.55
0.544,-2.47,6.16,7.88
0.545,-2.82,4.08,8.9
0.546,-2.59,4.35,5.37
0.547,-2.43,4.75,3.77
0.548,-3.77,3.73,5.02
0.549,-3.45,4.55,5.53
0.55,-3.53,4.71,6.24
0.551,-4.24,4.67,6.98
0.552,-4.82,5.22,8.47
0.553,-4.12,5.92,11.02
0.554,-5.45,6.28,14.44
0.555,-5.22,4.39,17.22
0.556,-3.84,3.69,12.67
0.557,-3.06,3.84,8.47
0.558,-2.67,3.49,8.43
0.559,-2.24,2.39,6.94
0.56,-1.61,1.8,3.96
0.561,-1.1,2.43,2.51
0.562,-1.69,1.73,3.3
0.563,-1.37,2.04,1.96
0.564,-1.45,2.47,2.94
0.565,-2.2,2.31,4.2
0.566,-1.69,3.18,6.83
0.567,-2.39,3.45,9.18
0.568,-1.61,5.33,9.92
0.569,-2.71,5.37,15.34
0.57,-4.55,1.88,14.59
0.571,-2.24,5.26,8.08
0.572,-1.73,4.63,6.71
0.573,-2.08,4.79,5.73
0.574,-2.94,3.88,4.86
0.575,-3.41,4.12,4.94
0.576,-3.3,4.24,6.04
0.577,-3.61,4.47,6.12
0.578,-3.92,4.71,7.3
0.579,-4.9,4.9,8.32
0.58,-4.86,5.3,10
0.581,-5.1,6.47,13.61
0.582,-5.53,5.02,17.14
0.583,-2.82,3.14,16.48
0.584,-1.22,2.39,9.49
0.585,-1.02,1.8,6.55
0.586,-2.16,0.55,6.04
0.587,-2.16,1.02,4.55
0.588,-2.39,2,3.65
0.589,-2.31,2.43,4.16
0.59,-2.2,2.59,4.59
0.591,-1.8,3.14,4.08
0.592,-1.53,3.57,4.9
0.593,-1.65,3.14,6.16
0.594,-2.35,3.41,8.04
0.595,-1.33,4.12,9.96
0.596,-3.45,3.1,15.65
0.597,-4.35,1.45,13.89
0.598,-1.84,4.63,8.16
0.599,-0.43,5.77,8.24
0.6,-2.59,3.88,8.39
0.601,-2.24,3.92,5.92
0.602,-2.51,3.49,4.51
0.603,-2.24,3.84,3.77
0.604,-2.47,4.12,4.79
0.605,-3.06,4.43,6.98
0.606,-3.33,4.94,8.79
0.607,-3.26,6.04,11.22
0.608,-4.08,6,14.95
0.609,-4.16,6,15.06
0.61,-3.3,3.84,13.89
0.611,-2.43,3.69,8.71
0.612,-3.06,3.8,7.14
0.613,-2.71,2.75,8.24
0.614,-2.51,1.8,6.47
0.615,-1.57,1.96,3.41
0.616,-0.67,2.63,2.75
0.617,-1.14,2.47,3.65
0.618,-1.06,2.67,3.96
0.619,-1.14,3.18,5.26
0.62,-1.33,3.06,6.86
0.621,-1.84,3.84,7.37
0.622,-2.24,4.47,9.14
0.623,-3.73,4.59,14.4
0.624,-4.04,3.1,14
0.625,-2.51,5.18,10.71
0.626,-1.53,5.1,8.51
0.627,-1.73,4.75,6.47
0.628,-1.96,4.43,5.26
0.629,-2.04,4.43,4.24
0.63,-2.35,4.63,4.86
0.631,-2.82,4.82,5.53
0.632,-3.49,5.14,7.3
0.633,-3.61,4.43,8.63
0.634,-4.24,4.04,9.96
0.635,-4.67,3.88,12.67
0.636,-3.8,5.26,14.47
0.637,-2.67,4.04,14
0.638,-2.79,3.33,8.39
0.639,-2.04,4.82,6.04
0.64,-2.08,4.08,8.24
0.641,-2.2,3.57,6.47
0.642,-2.12,2.94,4.79
0.643,-2.04,2.47,4
0.644,-1.8,2.59,3.8
0.645,-1.49,2.79,4.39
0.646,-1.73,2.86,5.06
0.647,-1.73,3.06,6.2
0.648,-2.31,4.04,8.59
0.649,-1.8,4.59,8.2
0.65,-2.43,5.84,11.02
0.651,-4.63,3.14,14.28
0.652,-3.02,5.3,9.3
0.653,-3.02,3.92,10.71
0.654,-2.43,4.24,7.49
0.655,-2.55,3.53,4.79
0.656,-2.82,3.37,4.55
0.657,-2.94,3.92,5.26
0.658,-3.18,4.24,4.98
0.659,-3.3,4.63,5.92
0.66,-4.04,4.98,7.73
0.661,-4.71,4.82,8.98
0.662,-4.51,5.92,10.47
0.663,-4.71,6.79,14.79
0.664,-4.28,4.12,17.18
0.665,-3.1,3.53,11.38
0.666,-2.79,3.61,5.33
0.667,-2.43,2.79,5.53
0.668,-2.24,2.67,5.26
0.669,-2.24,2.39,4.71
0.67,-1.8,2.16,3.69
0.671,-1.45,2.51,3.3
0.672,-1.57,2.9,4.43
0.673,-1.92,3.18,5.06
0.674,-1.84,3.8,6.75
0.675,-1.8,4.51,8.79
0.676,-2.12,5.3,9.34
0.677,-3.18,6,13.38
0.678,-5.1,3.06,16.91
0.679,-2.47,4.63,9.73
0.68,-0.75,4.94,6.55
0.681,-1.06,4.35,6.16
0.682,-2.24,3.3,4.98
0.683,-2.04,3.84,4.16
0.684,-2.31,3.77,4.59
0.685,-2.67,4.35,4.75
0.686,-2.94,4.9,6.28
0.687,-3.73,5.02,7.73
0.688,-4.24,5.69,8.67
0.689,-4.9,6.75,10.71
0.69,-5.41,6.35,15.73
0.691,-4.9,3.92,17.61
0.692,-3.8,3.02,9.53
0.693,-3.45,4.04,5.53
0.694,-2.71,3.02,7.61
